id,name,rank,genre,soundcloud_track_id,playcount_all,playcount_weekly,artist
784122652,PARTYNEXTDOOR - NOTHING LESS,58,R&B,784122652,108376,13567,partyomo
787212760,Covid 19 Ain't Stoppin Me (Prod.by TylerBraddock),59,Hip-hop & Rap,787212760,24564,13519,Tg Naz
784076005,PHARAOH - Баллада,60,Hip-hop & Rap,784076005,119759,13448,Русская Рэп-Сцена
787572010,Mixtape Cổ Lổ Xĩ - My Style My Name Vol 18  - TILo Mix ( Special gift for Titan Lounge ),61,,787572010,45197,13432,DJ TiLo
785774701,dizzy - prod. chillingcat,62,R&B & Soul,785774701,65040,13012,renzo
784801675,Frank Ocean - Cayendo (Acoustic),63,Hip-hop & Rap,784801675,83473,12791,PGlizzy
782425600,مهرجان - هنساكي | خليكي بعيد بهواكي | حمو بيكا - فيلو - قدورة - نور التوت 2020,64,,782425600,230747,12761,Wegz - Dorak Gai | ويجز - دورك جاى
785287051,AISYAH ISTRI RASULULLAH - ANISA RAHMAN (Cover),65,Classical,785287051,94460,12758,Adnan Risnawan
783919738,Banana Split (with YNW Melly feat. Lil Durk),66,Hip Hop,783919738,139792,12669,Murda Beatz
783154153,Blu-Ray,67,Hip-hop & Rap,783154153,154748,12537,COMETHAZINE
784799650,MEGA DA QUARENTENA - DJ WESLEY GONZAGA,68,,784799650,84487,12533,DJ WESLEY GONZAGA
784075936,PHARAOH - Лоулайф,69,Hip-hop & Rap,784075936,109357,12246,Русская Рэп-Сцена
779930239,Addison Rae,70,Rap,779930239,1095618,12106,The Kid LAROI.
783154897,Pitbull,71,Hip-hop & Rap,783154897,149202,12067,COMETHAZINE
784893334,Sleepy Hallow - Deep End,72,Hip-hop & Rap,784893334,85929,12045,TheNycPlug23
784619767,MC VITIN LC -  SUBAQUISTÃO - DJ SWAT,73,,784619767,93929,12038,DJ SWAT
784122004,PARTYNEXTDOOR - TURN UP,74,R&B,784122004,99476,12038,partyomo
784075975,PHARAOH - За решёткой,75,Hip-hop & Rap,784075975,102751,11594,Русская Рэп-Сцена
786517543,VENDETTA (prod LDG & Park Ave),76,Hip-hop & Rap,786517543,40031,11511,Cousin Stizz
784075909,PHARAOH - Призрак,77,Hip-hop & Rap,784075909,102132,11495,Русская Рэп-Сцена
784122718,PARTYNEXTDOOR - SHOWING YOU,78,R&B,784122718,99939,11452,partyomo
787027132,SLUTS WIT NUTS (FT. MADJAX) (PROD. CRMSYN),79,penis music,787027132,31045,11321,Lil Darkie
784123108,PARTYNEXTDOOR - TRAUMA,80,R&B,784123108,93559,10879,partyomo
784123153,PARTYNEXTDOOR - SAVAGE ANTHEM,81,R&B,784123153,93919,10858,partyomo
784075960,PHARAOH - Из-за тебя,82,Hip-hop & Rap,784075960,94800,10845,Русская Рэп-Сцена
784075894,"PHARAOH - То, чего нет",83,Hip-hop & Rap,784075894,92387,10808,Русская Рэп-Сцена
784075831,PHARAOH x Mnogoznaal - Семейные узы,84,Hip-hop & Rap,784075831,95018,10753,Русская Рэп-Сцена
784241287,Costa Rica (feat. The Kid LAROI)[Remix],85,Hip-hop & Rap,784241287,111547,10708,BANKROL HAYDEN
786741466,SHITTIN' ME (EAST MIX),86,Hip-hop & Rap,786741466,29408,10659,DAVE EAST
787266847,El Secreto,87,,787266847,25725,10563,DOSIS DIARIA
784162708,Not A Rapper (feat. Lil Baby & Yo Gotti),88,Hip-hop & Rap,784162708,96904,10520,42 Dugg
783303295,Toxic,89,Hip Hop,783303295,154267,10469,DDG
784745536,Sleepy Hallow - Deep End,90,Drill,784745536,73547,10408,Tune Plug
784858750,MEDLEY NOSTALGIA MC DELANO - GUI MARQUES CANALHÃO,91,,784858750,64141,10371,GUI MARQUES CANALHÃO
786604405,RAIN - LIL YACHTY,92,,786604405,27710,10042,"Lil Yachty, RD, Lil Boat"
786416515,Por Causa De Un Propósito,93,,786416515,27937,9999,DOSIS DIARIA
784267549,AISYAH ISTRI RASULULLAH  - ANISA RAHMAN (Cover),94,,784267549,97900,9898,Muhammad NursyahPutra
