artist,uri,followers,genres,popularity
The Supremes,spotify:artist:57bUPid8xztkieZfS7OlEV,1041096,"['adult standards', 'brill building pop', 'classic girl group', 'disco', 'folk rock', 'funk', 'motown', 'quiet storm', 'soul']",69
Tito Rodriguez,spotify:artist:10n4KkyM4UDt4pf9H4aDlS,42107,"['bolero', 'charanga', 'latin jazz', 'mambo', 'salsa', 'salsa international', 'salsa puertorriquena']",45
Jr. Walker & The All Stars,spotify:artist:1rHh0AI30JhKrbzKIFjFNd,118155,"['brill building pop', 'classic soul', 'funk', 'motown', 'quiet storm', 'soul', 'southern soul']",55
Marvin Gaye,spotify:artist:3koiLjNrgRTNbOwViDipeA,3344873,"['classic soul', 'funk', 'motown', 'northern soul', 'quiet storm', 'soul']",77
Tony Bennett,spotify:artist:2lolQgalUvZDfp5vvVtTYV,522669,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']",65
Mark Van Doren,spotify:artist:5YJUZtl4FjYDHnJfR2ysEI,28,['poetry'],0
La Sonora Matancera,spotify:artist:01p7Homi0d4XxZ06f2NYYD,103621,"['bolero', 'cumbia', 'latin jazz', 'mambo', 'salsa', 'tropical']",58
Yusef Lateef,spotify:artist:33XkS6h90eeK7e6OJHw0mq,53751,"['avant-garde', 'avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'free jazz', 'hard bop', 'jazz', 'jazz funk', 'jazz saxophone', 'soul jazz']",49
P. Susheela,spotify:artist:0aFGod7DM6b3O5l1AmvFwK,99914,"['deep indian pop', 'filmi', 'tamil worship']",42
The Staple Singers,spotify:artist:7xGGqA85UIWX1GoTVM4itC,179418,"['brill building pop', 'chicago soul', 'classic soul', 'funk', 'memphis soul', 'motown', 'quiet storm', 'soul', 'southern soul']",59
Maynard Ferguson,spotify:artist:6T4kUHIlszpj944ZXR3yNw,36615,"['big band', 'jazz orchestra', 'jazz trumpet']",42
Los Teen Tops,spotify:artist:14GfQ6EEHnp1lTAWHgtcYy,75767,"['bolero', 'mexican classic rock', 'mexican rock-and-roll', 'ranchera', 'rockabilly en espanol']",50
Luiz Gonzaga,spotify:artist:2ZofT7n9AlTKf7KDCoHGgD,262274,"['accordion', 'baiao', 'forro', 'forro tradicional', 'mpb', 'samba', 'velha guarda']",55
Don Hinson & The Rigamorticians,spotify:artist:6GNXV11gvYYegW2APslNlN,2319,['halloween'],17
Nelson Gonçalves,spotify:artist:2wi99swSP87YaFjVOI3zGJ,134353,"['bossa nova', 'brega', 'forro', 'mpb', 'samba', 'velha guarda']",49
Jim Reeves,spotify:artist:2Ev0e8GUIX4u7d9etNLTXg,212038,"['adult standards', 'nashville sound']",59
The Beatles,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,16119928,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",89
Paulinho Nogueira,spotify:artist:5ReVxzuREWusYE4ovnMbBn,14567,"['bossa nova', 'brazilian composition', 'choro', 'velha guarda', 'violao']",38
Charles Aznavour,spotify:artist:2hgP9Ap2tc10R5jrQaEpMT,550425,['chanson'],66
Victor Jara,spotify:artist:440MEFxEmF9othCXbz3Y6a,202035,"['andean', 'cantautor', 'nueva cancion', 'trova']",51
Neil Sedaka,spotify:artist:5N6GwJzOcOY5kv8p0NjhYL,255004,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'lounge', 'mellow gold', 'merseybeat', 'rockabilly', 'soft rock']",60
David Lindup,spotify:artist:6ZdZ5KLXDClqCitUzR52TR,654,"['library music', 'spytrack']",20
Traditional,spotify:artist:1U5zgr455OGyIkLNXvDdrf,27045,['sleep'],64
Jerry Landis,spotify:artist:1HivXUO8CqOSDhu0yAcVeh,0,[],0
Johnny Preston,spotify:artist:1B8n8vtEeexQ5NKehHTkeo,9791,"['brill building pop', 'deep adult standards', 'rhythm and blues', 'rock-and-roll', 'rockabilly']",36
Barbara Mason,spotify:artist:5PmZd7YOaUgQwhOja44fmZ,60171,"['classic soul', 'funk', 'motown', 'philly soul', 'quiet storm', 'southern soul']",47
Pérez Prado,spotify:artist:1ZKhPkCXXgtiGgALn4OYtT,43785,"['bolero', 'latin jazz', 'mambo', 'space age pop']",53
Ben E. King,spotify:artist:3plJVWt88EqjvtuB4ZDRV3,328187,"['adult standards', 'brill building pop', 'motown', 'rock-and-roll', 'soul', 'southern soul']",67
Diana Ross & The Supremes,spotify:artist:0rXI0q8Cahq6numvPlloaq,56643,"['classic girl group', 'motown']",52
Betty Everett,spotify:artist:53jXEVVJtpaWVQ3ffvhDtl,14590,"['brill building pop', 'chicago soul', 'classic soul', 'motown', 'rhythm and blues', 'soul', 'southern soul']",45
Sir Douglas Quintet,spotify:artist:3A2UXqQgMDJ3YNvLPyX5NW,8398,"['bubblegum pop', 'classic garage rock', 'cosmic american', 'country rock', 'pub rock']",38
Johnny Lytle,spotify:artist:1YENA5yMZMS2ta6wzLKWPg,1109,"['jazz vibraphone', 'soul jazz']",18
The Archies,spotify:artist:33QmoCkSqADuQEtMCysYLh,62021,"['brill building pop', 'bubblegum pop', 'classic canadian rock', 'folk rock']",60
