,title,artist,image,weeks,chart
0,Say So,Doja Cat Featuring Nicki Minaj,,18.0,hot-100
1,Savage,Megan Thee Stallion Featuring Beyonce,,8.0,hot-100
2,Blinding Lights,The Weeknd,,23.0,hot-100
3,Toosie Slide,Drake,,5.0,hot-100
4,The Box,Roddy Ricch,,22.0,hot-100
5,Don't Start Now,Dua Lipa,,27.0,hot-100
6,Pain 1993,Drake Featuring Playboi Carti,,1.0,hot-100
7,Circles,Post Malone,,36.0,hot-100
8,Rockstar,DaBaby Featuring Roddy Ricch,,3.0,hot-100
9,Intentions,Justin Bieber Featuring Quavo,,13.0,hot-100
10,Adore You,Harry Styles,,22.0,hot-100
11,The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi",,2.0,hot-100
12,Life Is Good,Future Featuring Drake,,17.0,hot-100
13,Chicago Freestyle,Drake Featuring Giveon,,1.0,hot-100
14,The Bones,Maren Morris,,33.0,hot-100
15,My Oh My,Camila Cabello Featuring DaBaby,,22.0,hot-100
16,Everything I Wanted,Billie Eilish,,26.0,hot-100
17,Someone You Loved,Lewis Capaldi,,52.0,hot-100
18,D4L,"Future, Drake & Young Thug",,1.0,hot-100
19,Roses (Imanbek Remix),SAINt JHN,,7.0,hot-100
20,I Hope,Gabby Barrett,,19.0,hot-100
21,Blueberry Faygo,Lil Mosey,,13.0,hot-100
22,Chasin' You,Morgan Wallen,,15.0,hot-100
23,Nobody But You,Blake Shelton Duet With Gwen Stefani,,17.0,hot-100
24,Not You Too,Drake Featuring Chris Brown,,1.0,hot-100
25,Memories,Maroon 5,,33.0,hot-100
26,Desires,Drake Featuring Future,,1.0,hot-100
27,Falling,Trevor Daniel,,25.0,hot-100
28,Be Kind,Marshmello & Halsey,,1.0,hot-100
29,Time Flies,Drake,,1.0,hot-100
30,Death Bed,Powfu Featuring beabadoobee,,8.0,hot-100
31,Deep Pockets,Drake,,1.0,hot-100
32,High Fashion,Roddy Ricch Featuring Mustard,,19.0,hot-100
33,Demons,Drake Featuring Fivio Foreign & Sosa Geek,,1.0,hot-100
34,When To Say When,Drake,,1.0,hot-100
35,Does To Me,Luke Combs Featuring Eric Church,,8.0,hot-100
36,Sunday Best,Surfaces,,10.0,hot-100
37,RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,,24.0,hot-100
38,Landed,Drake,,1.0,hot-100
39,Break My Heart,Dua Lipa,,6.0,hot-100
40,Beer Can't Fix,Thomas Rhett Featuring Jon Pardi,,8.0,hot-100
41,Righteous,Juice WRLD,,2.0,hot-100
42,Hot Girl Bummer,blackbear,,34.0,hot-100
43,Whats Poppin,Jack Harlow,,13.0,hot-100
44,From Florida With Love,Drake,,1.0,hot-100
45,Heart On Ice,Rod Wave,,26.0,hot-100
46,Ballin',Mustard & Roddy Ricch,,42.0,hot-100
47,After A Few,Travis Denning,,6.0,hot-100
48,Dance Monkey,Tones And I,,31.0,hot-100
49,I Hope You're Happy Now,Carly Pearce & Lee Brice,,18.0,hot-100
50,Losses,Drake,,1.0,hot-100
51,War,Drake,,1.0,hot-100
52,Before You Go,Lewis Capaldi,,14.0,hot-100
53,Supalonely,BENEE Featuring Gus Dapperton,,8.0,hot-100
54,Hard To Forget,Sam Hunt,,6.0,hot-100
55,Emotionally Scarred,Lil Baby,,10.0,hot-100
56,Sum 2 Prove,Lil Baby,,17.0,hot-100
57,Six Feet Apart,Luke Combs,,1.0,hot-100
58,All In,Lil Baby,,2.0,hot-100
59,Level Of Concern,twenty one pilots,,4.0,hot-100
60,We Paid,Lil Baby & 42 Dugg,,1.0,hot-100
61,In Your Eyes,The Weeknd,,7.0,hot-100
62,Dior,Pop Smoke,,12.0,hot-100
63,Party Girl,StaySolidRocky,,2.0,hot-100
64,Social Distancing,Lil Baby,,1.0,hot-100
65,Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,,15.0,hot-100
66,Walk Em Down,NLE Choppa Featuring Roddy Ricch,,7.0,hot-100
67,Here And Now,Kenny Chesney,,5.0,hot-100
68,More Hearts Than Mine,Ingrid Andress,,19.0,hot-100
69,I Love Me,Demi Lovato,,9.0,hot-100
70,If The World Was Ending,JP Saxe Featuring Julia Michaels,,6.0,hot-100
71,I'm Ready,Sam Smith & Demi Lovato,,3.0,hot-100
72,Yo Perreo Sola,Bad Bunny,,8.0,hot-100
73,Ride It.,Regard,,4.0,hot-100
74,Slide,H.E.R. Featuring YG,,20.0,hot-100
75,Bluebird,Miranda Lambert,,5.0,hot-100
76,Out West,JACKBOYS Featuring Young Thug,,17.0,hot-100
77,Catch,Brett Young,,15.0,hot-100
78,P*$$y Fairy (OTW),Jhene Aiko,,16.0,hot-100
79,Believe It,PARTYNEXTDOOR & Rihanna,,6.0,hot-100
80,Low Down,Lil Baby,,1.0,hot-100
81,Godzilla,Eminem Featuring Juice WRLD,,16.0,hot-100
82,Jump,DaBaby Featuring YoungBoy Never Broke Again,,3.0,hot-100
83,After Party,Don Toliver,,3.0,hot-100
84,In Between,Scotty McCreery,,4.0,hot-100
85,Humble,Lil Baby,,1.0,hot-100
86,One Margarita,Luke Bryan,,1.0,hot-100
87,Grace,Lil Baby & 42 Dugg,,8.0,hot-100
88,God Whispered Your Name,Keith Urban,,3.0,hot-100
89,Slow Dance In A Parking Lot,Jordan Davis,,18.0,hot-100
90,Turks,"NAV, Gunna & Travis Scott",,6.0,hot-100
91,Homemade,Jake Owen,,15.0,hot-100
92,You Should Be Sad,Halsey,,17.0,hot-100
93,Die From A Broken Heart,Maddie & Tae,,4.0,hot-100
94,Be A Light,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",,5.0,hot-100
95,Heatin Up,Lil Baby & Gunna,,7.0,hot-100
96,Come Thru,Summer Walker & Usher,,19.0,hot-100
97,Find My Way,DaBaby,,5.0,hot-100
98,I Love My Country,Florida Georgia Line,,3.0,hot-100
99,Don't Rush,Young T & Bugsey Featuring Headie One,,1.0,hot-100
100,Here And Now,Kenny Chesney,,1.0,billboard-200
101,Dark Lane Demo Tapes,Drake,,1.0,billboard-200
102,My Turn,Lil Baby,,10.0,billboard-200
103,BLAME IT ON BABY,DaBaby,,3.0,billboard-200
104,Eternal Atake,Lil Uzi Vert,,9.0,billboard-200
105,After Hours,The Weeknd,,7.0,billboard-200
106,Suga,Megan Thee Stallion,,9.0,billboard-200
107,Hollywood's Bleeding,Post Malone,,35.0,billboard-200
108,Hot Pink,Doja Cat,,27.0,billboard-200
109,YHLQMDLG,Bad Bunny,,10.0,billboard-200
110,Please Excuse Me For Being Antisocial,Roddy Ricch,,22.0,billboard-200
111,What You See Is What You Get,Luke Combs,,26.0,billboard-200
112,38 Baby 2,YoungBoy Never Broke Again,,2.0,billboard-200
113,"When We All Fall Asleep, Where Do We Go?",Billie Eilish,,58.0,billboard-200
114,Chilombo,Jhene Aiko,,9.0,billboard-200
115,Future Nostalgia,Dua Lipa,,6.0,billboard-200
116,This One's For You,Luke Combs,,153.0,billboard-200
117,Pray 4 Love,Rod Wave,,5.0,billboard-200
118,Fine Line,Harry Styles,,21.0,billboard-200
119,ASTROWORLD,Travis Scott,,92.0,billboard-200
120,If I Know Me,Morgan Wallen,,84.0,billboard-200
121,"Dave's Picks: Volume 34: Jai-Alai Fronton, Miami, FL - 06/23/74",Grateful Dead,,1.0,billboard-200
122,Changes,Justin Bieber,,12.0,billboard-200
123,Frozen II,Soundtrack,,25.0,billboard-200
124,beerbongs & bentleys,Post Malone,,106.0,billboard-200
125,Greatest Hits,Queen,,385.0,billboard-200
126,Goodbye & Good Riddance,Juice WRLD,,103.0,billboard-200
127,SOUTHSIDE,Sam Hunt,,5.0,billboard-200
128,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,,51.0,billboard-200
129,"Meet The Woo, V.2",Pop Smoke,,13.0,billboard-200
130,Over It,Summer Walker,,31.0,billboard-200
131,Lover,Taylor Swift,,37.0,billboard-200
132,Good To Know,JoJo,,1.0,billboard-200
133,Graves Into Gardens,Elevation Worship,,1.0,billboard-200
134,Fully Loaded: God's Country,Blake Shelton,,21.0,billboard-200
135,Scorpion,Drake,,97.0,billboard-200
136,JACKBOYS,JACKBOYS,,19.0,billboard-200
137,The New Toronto 3,Tory Lanez,,4.0,billboard-200
138,Death Race For Love,Juice WRLD,,61.0,billboard-200
139,Legend: The Best Of...,Bob Marley And The Wailers,,625.0,billboard-200
140,MAP OF THE SOUL : 7,BTS,,11.0,billboard-200
141,Diamonds,Elton John,,130.0,billboard-200
142,Beyond Bulletproof,Mozzy,,1.0,billboard-200
143,Ghetto Gospel,Rod Wave,,27.0,billboard-200
144,Manic,Halsey,,16.0,billboard-200
145,KIRK,DaBaby,,32.0,billboard-200
146,Dont Smile At Me,Billie Eilish,,124.0,billboard-200
147,Stoney,Post Malone,,178.0,billboard-200
148,Cuz I Love You,Lizzo,,55.0,billboard-200
149,Music To Be Murdered By,Eminem,,16.0,billboard-200
150,Heaven Or Hell,Don Toliver,,8.0,billboard-200
151,Certified Hitmaker,Lil Mosey,,23.0,billboard-200
152,Chronicle The 20 Greatest Hits,Creedence Clearwater Revival,,470.0,billboard-200
153,TROLLS: World Tour,Soundtrack,,5.0,billboard-200
154,Slime & B,Chris Brown & Young Thug,,1.0,billboard-200
155,Artist 2.0,A Boogie Wit da Hoodie,,12.0,billboard-200
156,So Much Fun,Young Thug,,38.0,billboard-200
157,Journey's Greatest Hits,Journey,,615.0,billboard-200
158,AI YoungBoy 2,YoungBoy Never Broke Again,,30.0,billboard-200
159,Rumours,Fleetwood Mac,,371.0,billboard-200
160,Collection One,SAINt JHN,,7.0,billboard-200
161,Free Spirit,Khalid,,57.0,billboard-200
162,Romance,Camila Cabello,,22.0,billboard-200
163,A Love Letter To You 4,Trippie Redd,,24.0,billboard-200
164,Traveller,Chris Stapleton,,243.0,billboard-200
165,?,XXXTENTACION,,112.0,billboard-200
166,"Still Flexin, Still Steppin",YoungBoy Never Broke Again,,11.0,billboard-200
167,"Thank U, Next",Ariana Grande,,65.0,billboard-200
168,American Teen,Khalid,,166.0,billboard-200
169,Indigo,Chris Brown,,45.0,billboard-200
170,÷ (Divide),Ed Sheeran,,166.0,billboard-200
171,GIRL,Maren Morris,,61.0,billboard-200
172,1,The Beatles,,419.0,billboard-200
173,Birds In The Trap Sing McKnight,Travis Scott,,191.0,billboard-200
174,Moana,Soundtrack,,180.0,billboard-200
175,Hamilton: An American Musical,Original Broadway Cast,,241.0,billboard-200
176,Greatest Hits,Tom Petty And The Heartbreakers,,356.0,billboard-200
177,Rare,Selena Gomez,,17.0,billboard-200
178,The Essential Billy Joel,Billy Joel,,190.0,billboard-200
179,Invasion Of Privacy,Cardi B,,109.0,billboard-200
180,No.6 Collaborations Project,Ed Sheeran,,43.0,billboard-200
181,Abbey Road,The Beatles,,360.0,billboard-200
182,Luv Is Rage 2,Lil Uzi Vert,,141.0,billboard-200
183,Sweet Action,Jack Harlow,,8.0,billboard-200
184,Kiss 5,K Camp,,2.0,billboard-200
185,The Greatest Showman,Soundtrack,,126.0,billboard-200
186,Perfect Ten,Mustard,,45.0,billboard-200
187,Appetite For Destruction,Guns N' Roses,,226.0,billboard-200
188,Greatest Hits,2Pac,,323.0,billboard-200
189,Take Care,Drake,,375.0,billboard-200
190,Experiment,Kane Brown,,78.0,billboard-200
191,Views,Drake,,210.0,billboard-200
192,True 2 Myself,Lil Tjay,,30.0,billboard-200
193,7 (EP),Lil Nas X,,46.0,billboard-200
194,Back In Black,AC/DC,,410.0,billboard-200
195,Dan + Shay,Dan + Shay,,98.0,billboard-200
196,PARTYMOBILE,PARTYNEXTDOOR,,6.0,billboard-200
197,Cry Baby,Melanie Martinez,,119.0,billboard-200
198,Dreamville & J. Cole: Revenge Of The Dreamers III,Various Artists,,44.0,billboard-200
199,Greatest Hits,The Notorious B.I.G.,,221.0,billboard-200
200,Time Served,Moneybagg Yo,,17.0,billboard-200
201,DAMN.,Kendrick Lamar,,160.0,billboard-200
202,The Search,NF,,41.0,billboard-200
203,Look Up Child,Lauren Daigle,,87.0,billboard-200
204,Melly vs. Melvin,YNW Melly,,24.0,billboard-200
205,Shawn Mendes,Shawn Mendes,,102.0,billboard-200
206,ADHD,Joyner Lucas,,6.0,billboard-200
207,All Time Greatest Hits,Lynyrd Skynyrd,,79.0,billboard-200
208,Center Point Road,Thomas Rhett,,48.0,billboard-200
209,Old Dominion,Old Dominion,,28.0,billboard-200
210,Greatest Hits So Far...,Zac Brown Band,,256.0,billboard-200
211,K.I.D.S. (Kickin Incredibly Dope Shit),Mac Miller,,1.0,billboard-200
212,The Kids Are Coming (EP),Tones And I,,31.0,billboard-200
213,Kane Brown,Kane Brown,,179.0,billboard-200
214,Starboy,The Weeknd,,180.0,billboard-200
215,Hoodie SZN,A Boogie Wit da Hoodie,,72.0,billboard-200
216,Where The Light Is,Surfaces,,11.0,billboard-200
217,Sounds Of Summer: The Very Best Of The Beach Boys,The Beach Boys,,209.0,billboard-200
218,Beauty Behind The Madness,The Weeknd,,244.0,billboard-200
219,Circles,Mac Miller,,16.0,billboard-200
220,kelsea,Kelsea Ballerini,,7.0,billboard-200
221,Happiness Begins,Jonas Brothers,,48.0,billboard-200
222,Greatest Hits: God's Favorite Band,Green Day,,19.0,billboard-200
223,Their Greatest Hits 1971-1975,Eagles,,325.0,billboard-200
224,The Essential Michael Jackson,Michael Jackson,,323.0,billboard-200
225,"good kid, m.A.A.d city",Kendrick Lamar,,393.0,billboard-200
226,PTSD,G Herbo,,10.0,billboard-200
227,2014 Forest Hills Drive,J. Cole,,283.0,billboard-200
228,Colores,J Balvin,,7.0,billboard-200
229,Evolve,Imagine Dragons,,150.0,billboard-200
230,More Life,Drake,,163.0,billboard-200
231,The Eminem Show,Eminem,,376.0,billboard-200
232,Lamentations,American Aquarium,,1.0,billboard-200
233,Baby On Baby,DaBaby,,62.0,billboard-200
234,17,XXXTENTACION,,141.0,billboard-200
235,Greatest Hits,Bob Seger & The Silver Bullet Band,,328.0,billboard-200
236,~how i'm feeling~,Lauv,,9.0,billboard-200
237,1989,Taylor Swift,,282.0,billboard-200
238,Hot Rocks 1964-1971,The Rolling Stones,,331.0,billboard-200
239,Greatest Hits,Red Hot Chili Peppers,,238.0,billboard-200
240,NOW 74,Various Artists,,1.0,billboard-200
241,Thriller,Michael Jackson,,417.0,billboard-200
242,Doo-Wops & Hooligans,Bruno Mars,,469.0,billboard-200
243,Ordinary Man,Ozzy Osbourne,,11.0,billboard-200
244,Die A Legend,Polo G,,48.0,billboard-200
245,X 100PRE,Bad Bunny,,72.0,billboard-200
246,Ctrl,SZA,,152.0,billboard-200
247,The Very Best Of Daryl Hall  John Oates,Daryl Hall John Oates,,84.0,billboard-200
248,C A L M,5 Seconds Of Summer,,7.0,billboard-200
249,Homesick (EP),Trevor Daniel,,21.0,billboard-200
250,Golden Hour,Kacey Musgraves,,90.0,billboard-200
251,Blonde,Frank Ocean,,177.0,billboard-200
252,Swimming,Mac Miller,,92.0,billboard-200
253,50 Number Ones,George Strait,,138.0,billboard-200
254,Nevermind,Nirvana,,472.0,billboard-200
255,Birds Of Prey: The Album,Soundtrack,,13.0,billboard-200
256,The Essential Elvis Presley,Elvis Presley,,45.0,billboard-200
257,Number One Hits,Tim McGraw,,149.0,billboard-200
258,We Love You Tecca,Lil Tecca,,36.0,billboard-200
259,IGOR,"Tyler, The Creator",,51.0,billboard-200
260,I'm Him,Kevin Gates,,32.0,billboard-200
261,Victory Lap,Nipsey Hussle,,67.0,billboard-200
262,Championships,Meek Mill,,75.0,billboard-200
263,Metallica,Metallica,,571.0,billboard-200
264,x,Ed Sheeran,,303.0,billboard-200
265,H.E.R.,H.E.R.,,132.0,billboard-200
266,A Star Is Born (Soundtrack),Lady Gaga & Bradley Cooper,,83.0,billboard-200
267,Reloaded: 20 #1 Hits,Blake Shelton,,184.0,billboard-200
268,21,Adele,,464.0,billboard-200
269,Drip Harder,Lil Baby & Gunna,,83.0,billboard-200
270,Curtain Call: The Hits,Eminem,,491.0,billboard-200
271,Heartbreak Weather,Niall Horan,,7.0,billboard-200
272,The Definitive Collection,Stevie Wonder,,91.0,billboard-200
273,A Decade Of Destruction,Five Finger Death Punch,,114.0,billboard-200
274,Blurryface,twenty one pilots,,260.0,billboard-200
275,Chixtape 5,Tory Lanez,,25.0,billboard-200
276,Born To Die,Lana Del Rey,,353.0,billboard-200
277,Greatest Hits: The Ultimate Collection,Bon Jovi,,163.0,billboard-200
278,Love Yourself: Answer,BTS,,71.0,billboard-200
279,California Sunrise,Jon Pardi,,179.0,billboard-200
280,Night Visions,Imagine Dragons,,393.0,billboard-200
281,Greatest Hits,Fleetwood Mac,,148.0,billboard-200
282,The Saga Of Wiz Khalifa,Wiz Khalifa,,3.0,billboard-200
283,Making A Door Less Open,Car Seat Headrest,,1.0,billboard-200
284,Perception,NF,,135.0,billboard-200
285,Man On The Moon: The End Of Day,Kid Cudi,,123.0,billboard-200
286,Nothing Was The Same,Drake,,332.0,billboard-200
287,ANTI,Rihanna,,219.0,billboard-200
288,Purgatory,Tyler Childers,,4.0,billboard-200
289,Frozen: The Songs,Soundtrack,,31.0,billboard-200
290,"Quality Control: Control The Streets, Volume 2",Various Artists,,38.0,billboard-200
291,Rearview Town,Jason Aldean,,104.0,billboard-200
292,The Dark Side Of The Moon,Pink Floyd,,950.0,billboard-200
293,Ella Mai,Ella Mai,,81.0,billboard-200
294,The Essential Johnny Cash,Johnny Cash,,23.0,billboard-200
295,Ticket To L.A.,Brett Young,,21.0,billboard-200
296,Ultimate Sinatra,Frank Sinatra,,108.0,billboard-200
297,Cosmic,Bazzi,,107.0,billboard-200
298,Lady Like,Ingrid Andress,,6.0,billboard-200
299,Sweetener,Ariana Grande,,86.0,billboard-200
300,,Kenny Chesney,https://charts-static.billboard.com/img/2017/06/kenny-chesney-53x53.jpg,176.0,artist-100
301,,Drake,https://charts-static.billboard.com/img/2009/12/drake-hq6-artist-chart-vz1-53x53.jpg,306.0,artist-100
302,,Lil Baby,https://charts-static.billboard.com/img/2017/11/lil-baby-nwx-53x53.jpg,104.0,artist-100
303,,The Weeknd,https://charts-static.billboard.com/img/2011/11/the-weeknd-nsd-53x53.jpg,252.0,artist-100
304,,Luke Combs,https://charts-static.billboard.com/img/2017/03/luke-combs-y14-53x53.jpg,166.0,artist-100
305,,DaBaby,https://charts-static.billboard.com/img/2018/07/dababy-yo9-53x53.jpg,56.0,artist-100
306,,Post Malone,https://charts-static.billboard.com/img/2015/10/post-malone-1vw-53x53.jpg,202.0,artist-100
307,,Doja Cat,https://charts-static.billboard.com/img/2018/04/doja-cat-m37-53x53.jpg,22.0,artist-100
308,,Roddy Ricch,https://charts-static.billboard.com/img/2018/11/roddy-ricch-eqp-53x53.jpg,22.0,artist-100
309,,Billie Eilish,https://charts-static.billboard.com/img/2017/05/billie-eilish-1e3-53x53.jpg,89.0,artist-100
310,,BTS,https://charts-static.billboard.com/img/2015/12/bts-4i5-53x53.jpg,187.0,artist-100
311,,Megan Thee Stallion,https://charts-static.billboard.com/img/2019/03/megan-thee-stallion-fnn-53x53.jpg,43.0,artist-100
312,,Dua Lipa,https://charts-static.billboard.com/img/2015/12/dua-lipa-5k0-53x53.jpg,105.0,artist-100
313,,Travis Scott,https://charts-static.billboard.com/img/2015/09/travis-scott-jll-53x53.jpg,209.0,artist-100
314,,Harry Styles,https://charts-static.billboard.com/img/2017/04/harry-styles-psx-artist-chart-rzg-53x53.jpg,45.0,artist-100
315,,Morgan Wallen,https://charts-static.billboard.com/img/2018/01/morgan-wallen-ur7-53x53.jpg,61.0,artist-100
316,,Justin Bieber,https://charts-static.billboard.com/img/2009/07/justin-bieber-4oh-53x53.jpg,272.0,artist-100
317,,Juice WRLD,https://charts-static.billboard.com/img/2018/05/juice-wrld-f0a-53x53.jpg,103.0,artist-100
318,,Lewis Capaldi,https://charts-static.billboard.com/img/2018/12/lewis-capaldi-s2h-53x53.jpg,51.0,artist-100
319,,Halsey,https://charts-static.billboard.com/img/2014/10/halsey-so0-53x53.jpg,230.0,artist-100
320,,Khalid,https://charts-static.billboard.com/img/2016/12/khalid-dsk-53x53.jpg,166.0,artist-100
321,,Grateful Dead,https://charts-static.billboard.com/img/2017/08/grateful-dead-53x53.jpg,25.0,artist-100
322,,Ed Sheeran,https://charts-static.billboard.com/img/2012/11/ed-sheeran-buv-artist-chart-914-53x53.jpg,300.0,artist-100
323,,Lil Uzi Vert,https://charts-static.billboard.com/img/2016/07/lil-uzi-vert-mre-53x53.jpg,133.0,artist-100
324,,Bad Bunny,https://charts-static.billboard.com/img/2017/08/bad-bunny-kt8-artist-chart-wqt-53x53.jpg,112.0,artist-100
325,,Nicki Minaj,https://charts-static.billboard.com/img/2010/12/nicki-minaj-thi-53x53.jpg,243.0,artist-100
326,,Kane Brown,https://charts-static.billboard.com/img/2015/10/kane-brown-ndj-53x53.jpg,151.0,artist-100
327,,Future,https://charts-static.billboard.com/img/1988/03/future-f8b-53x53.jpg,178.0,artist-100
328,,Sam Hunt,https://charts-static.billboard.com/img/2014/08/sam-hunt-2mf-53x53.jpg,233.0,artist-100
329,,Maroon 5,https://charts-static.billboard.com/img/1840/12/maroon-5-9st-53x53.jpg,306.0,artist-100
330,,YoungBoy Never Broke Again,https://charts-static.billboard.com/img/2017/06/youngboy-never-broke-again-cu3-53x53.jpg,93.0,artist-100
331,,Maren Morris,https://charts-static.billboard.com/img/2016/02/maren-morris-knd-artist-chart-413-53x53.jpg,164.0,artist-100
332,,Jonas Brothers,https://charts-static.billboard.com/img/2007/12/jonas-brothers-r3d-artist-chart-i1c-53x53.jpg,62.0,artist-100
333,,Queen,https://charts-static.billboard.com/img/1975/12/queen-m21-53x53.jpg,106.0,artist-100
334,,Taylor Swift,https://charts-static.billboard.com/img/2006/12/taylor-swift-p7u-artist-chart-ylp-53x53.jpg,302.0,artist-100
335,,Blake Shelton,https://charts-static.billboard.com/img/2017/02/blake-shelton-53x53.jpg,275.0,artist-100
336,,Camila Cabello,https://charts-static.billboard.com/img/2016/01/camila-cabello-4tx-53x53.jpg,173.0,artist-100
337,,Thomas Rhett,https://charts-static.billboard.com/img/2013/12/thomas-rhett-r0o-53x53.jpg,274.0,artist-100
338,,Rod Wave,https://charts-static.billboard.com/img/2019/06/rod-wave-i1w-53x53.jpg,21.0,artist-100
339,,Jhene Aiko,https://www.billboard.com/assets/1588965272/images/charts/bb-placeholder-new.jpg?2f99a4a9bfbde08581fe,24.0,artist-100
340,,Beyonce,https://charts-static.billboard.com/img/2006/12/beyonce-000-artist-chart-cci-53x53.jpg,194.0,artist-100
341,,The Beatles,https://charts-static.billboard.com/img/1970/12/the-beatles-ism-artist-chart-6xr-53x53.jpg,129.0,artist-100
342,,Elevation Worship,https://charts-static.billboard.com/img/2016/02/elevation-worship-uv5-53x53.jpg,4.0,artist-100
343,,Fleetwood Mac,https://charts-static.billboard.com/img/2017/05/fleetwood-mac-53x53.jpg,57.0,artist-100
344,,Gabby Barrett,https://charts-static.billboard.com/img/2018/06/gabby-barrett-dn0-53x53.jpg,16.0,artist-100
345,,JoJo,https://charts-static.billboard.com/img/2006/12/jojo-iey-53x53.jpg,2.0,artist-100
346,,SAINt JHN,https://www.billboard.com/assets/1588965272/images/charts/bb-placeholder-new.jpg?2f99a4a9bfbde08581fe,7.0,artist-100
347,,Bruno Mars,https://charts-static.billboard.com/img/2010/12/bruno-mars-va7-53x53.jpg,290.0,artist-100
348,,Lizzo,https://charts-static.billboard.com/img/2018/11/lizzo-w3u-53x53.jpg,55.0,artist-100
349,,Brett Young,https://charts-static.billboard.com/img/2016/10/brett-young-9rw-53x53.jpg,151.0,artist-100
350,,Luke Bryan,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-53x53.jpg,297.0,artist-100
351,,Imagine Dragons,https://charts-static.billboard.com/img/1840/12/imagine-dragons-hy6-53x53.jpg,274.0,artist-100
352,,Young Thug,https://charts-static.billboard.com/img/2014/09/young-thug-288-53x53.jpg,127.0,artist-100
353,,Chris Brown,https://charts-static.billboard.com/img/2006/12/chris-brown-cte-53x53.jpg,254.0,artist-100
354,,NCT 127,https://charts-static.billboard.com/img/2018/05/nct-127-yoz-artist-chart-51g-53x53.jpg,17.0,artist-100
355,,Dan + Shay,https://charts-static.billboard.com/img/2014/12/dan-shay-53q-53x53.jpg,128.0,artist-100
356,,Lady Gaga,https://charts-static.billboard.com/img/2017/05/lady-gaga-53x53.jpg,156.0,artist-100
357,,Lil Mosey,https://charts-static.billboard.com/img/2018/09/lil-mosey-j5a-53x53.jpg,11.0,artist-100
358,,J Balvin,https://charts-static.billboard.com/img/2013/12/j-balvin-d72-53x53.jpg,120.0,artist-100
359,,Trevor Daniel,https://www.billboard.com/assets/1588965272/images/charts/bb-placeholder-new.jpg?2f99a4a9bfbde08581fe,19.0,artist-100
360,,twenty one pilots,https://charts-static.billboard.com/img/2015/04/twenty-one-pilots-840-53x53.jpg,249.0,artist-100
361,,Tones And I,https://charts-static.billboard.com/img/2019/08/tones-and-i-e8g-53x53.jpg,28.0,artist-100
362,,Marshmello,https://charts-static.billboard.com/img/2016/10/marshmello-9ph-53x53.jpg,116.0,artist-100
363,,Ariana Grande,https://charts-static.billboard.com/img/2011/02/ariana-grande-ypy-artist-chart-xj0-53x53.jpg,274.0,artist-100
364,,Jason Aldean,https://charts-static.billboard.com/img/2006/12/jason-aldean-sa0-53x53.jpg,284.0,artist-100
365,,Lee Brice,https://charts-static.billboard.com/img/2010/12/lee-brice-vbm-53x53.jpg,70.0,artist-100
366,,Sam Smith,https://charts-static.billboard.com/img/2014/07/sam-smith-9q2-53x53.jpg,209.0,artist-100
367,,Demi Lovato,https://charts-static.billboard.com/img/2009/12/demi-lovato-sad-artist-chart-nkm-53x53.jpg,155.0,artist-100
368,,Chris Stapleton,https://charts-static.billboard.com/img/2015/02/chris-stapleton-ha2-53x53.jpg,237.0,artist-100
369,,Lauren Daigle,https://charts-static.billboard.com/img/2015/05/lauren-daigle-vvo-53x53.jpg,114.0,artist-100
370,,Surfaces,https://www.billboard.com/assets/1588965272/images/charts/bb-placeholder-new.jpg?2f99a4a9bfbde08581fe,4.0,artist-100
371,,Old Dominion,https://charts-static.billboard.com/img/2015/04/old-dominion-wac-53x53.jpg,168.0,artist-100
372,,Panic! At The Disco,https://charts-static.billboard.com/img/2006/12/panic-at-the-disco-yl6-53x53.jpg,190.0,artist-100
373,,Gunna,https://charts-static.billboard.com/img/2018/06/gunna-16m-53x53.jpg,62.0,artist-100
374,,Jack Harlow,https://charts-static.billboard.com/img/2018/01/jack-harlow-ft9-artist-chart-cns-53x53.jpg,2.0,artist-100
375,,H.E.R.,https://charts-static.billboard.com/img/2017/11/her-7vm-53x53.jpg,20.0,artist-100
376,,blackbear,https://charts-static.billboard.com/img/2014/05/blackbear-gbd-53x53.jpg,48.0,artist-100
377,,Adele,https://charts-static.billboard.com/img/2009/12/adele-ee3-artist-chart-nd3-53x53.jpg,239.0,artist-100
378,,Metallica,https://charts-static.billboard.com/img/2017/05/metallica-53x53.jpg,244.0,artist-100
379,,Selena Gomez,https://charts-static.billboard.com/img/2017/07/selena-gomez-53x53.jpg,235.0,artist-100
380,,Journey,https://charts-static.billboard.com/img/1840/12/journey-uy0-53x53.jpg,39.0,artist-100
381,,Shawn Mendes,https://charts-static.billboard.com/img/2014/08/shawn-mendes-2fw-artist-chart-sdl-53x53.jpg,274.0,artist-100
382,,American Aquarium,https://charts-static.billboard.com/img/2018/06/american-aquarium-htf-53x53.jpg,1.0,artist-100
383,,Travis Denning,https://www.billboard.com/assets/1588965272/images/charts/bb-placeholder-new.jpg?2f99a4a9bfbde08581fe,1.0,artist-100
