chartmetric_artist_id,cpp_rank,spotify_popularity,spotify_followers,spotify_monthly_listeners,spotify_listeners_to_followers_ratio,facebook_likes,facebook_talks,youtube_channel_views,youtube_subscribers,wikipedia_views,soundcloud_followers
298823,15038.0,54,85811,547509.0,6.380405775,51842.0,76.0,,,,644.0
55262,40731.0,42,85813,116330.0,1.355622109,8838.0,124.0,,,280.0,
250135,29191.0,46,85814,178526.0,2.080383154,13157.0,4157.0,52046872.0,140000.0,,47376.0
83082,35753.0,49,85815,158348.0,1.845225194,99907.0,198.0,,,61.0,
838916,55152.0,47,85817,81445.0,0.9490543832,381163.0,64899.0,1392541.0,9700.0,,
212525,11537.0,45,85834,230963.0,2.690810168,4278.0,206.0,114387454.0,864000.0,468.0,
78337,50041.0,42,85838,55544.0,0.6470793821,245198.0,814.0,,,322.0,
210232,5946.0,57,85839,1065664.0,12.414683302,223158.0,292.0,3606986.0,21000.0,41.0,86915.0
212211,32696.0,45,85842,189119.0,2.203105706,2668.0,,,,37.0,169.0
62901,26343.0,52,85854,255317.0,2.973850956,79025.0,285.0,20877478.0,28900.0,10.0,
168650,18466.0,51,85857,235009.0,2.737214205,242730.0,2659.0,12973035.0,46800.0,1411.0,4125.0
