cm_artist,artist_name,spotify_artist_id,itunes_artist_id,deezer_artist_id
3595635,Dan Sherrill,4SuyFHZuRKUvSb2XKXz5UI,,
3595631,Ferdy Sound Records,6eigS1opAkvZfmm42A2e98,,
3595624,"Elemental BR, Forcebeat, John Bittar",0ohufmwewbkpEZSAkPt7SZ,,
3595621,Gener,32vvrIIEbrE2DrCvR7wv0E,,
3595619,Luca Delano,5uUD7LTN8DcOhwOfd7u5JA,,
3595617,Ding Gao,5KJixgNLwxgEuVOzpTbDjK,,
3595614,Paö,5MhVlK28nHKdUkofe3R51O,,
3595606,Rana,6NTLaOzgw9mYhJuBDcx0Vb,,
3595605,Sami Suárez,1LAyVEL1wfxzfmrZ6xvyoi,,
3595603,Dina Ramirez,21ZPCC9AzHSORK77BwIAMR,,
3595602,Jorge Soberanis,74cFMG3JzBU13AGMBrg8OQ,,
3595594,Rowan Ryan,7KmKuG5W45Y4tu2gIrirBC,,
3595583,Bindy,5SY3OYmRCyLrCZL9RghBWQ,,
3595582,Lise Verheijden,0Sf0EQnE3VbuseGmxjCCoV,,
3595576,Klevi,0pyEbdHgBGkhJ9Kcl12dMf,,
3595546,Timpani,3xny0wd6c0yl1PtCYPCTgW,,
3595545,Swullz,5kexQ1C0mmdp1LLRGsK8U6,,
3595543,Jose Yamil,2Fh6O7HuZpfzDhtePyqBYy,,
3595518,Royal Fancy,5Zw1m66L8P7rlvXueNMmJT,,
3595517,Laven Mes,6EOkig6oRM88NM0iyYcCQ0,,
3595511,Arab All Stars,52dzKoWTUCxifcitnrU28s,,
3595504,Khamilxcs,4gnHKLjyNBl6ZclJ1kdMbv,,
3595489,Q.U.A.K.E Remix,03gHlhOFTkk28gYkT4cNsU,,
3595487,Urgent Union,1yYFDXfrKbKPhiEGlr9zjd,,
3595486,Yaros Mjelsky,2LFY47CetcwAsuq5x7ushI,,
3595484,Poolz,0cCIBwrPYyulHMqbUr6biw,,
3595474,TSTB,3zabgWxO07RWoOdK4COaXf,,
3595443,Aaldrik de Artiest,5KDni0cgmysjQyi2Dd8uGB,,
3594648,Edizon,0ycsDPCCleTxRIMbnsLr5J,,
3594640,Johnny Slash,6UO5wpBaV4YZK0wmNcudzv,,
3594639,AnSmoke,19a2gOhjV8ZB2ZVE88WyTH,,
3594633,Oulun Kamariorkesterin Jousikvartetti,6civhljPU7KdNDzPEVwdhC,,
3594623,Richie Koh,5oqHhbQOgfb4VsLOhD1ya3,,
3594622,Sharon Shobana Vasudevan,34T3pEe3EpbGVta9jXsTxg,,
3594620,芳榕,7lt5UtzcatV4flNvEecD5p,,
3594617,Yannick Antao,0uPCrGjq9apcICA0MMsrw8,,
3594584,ニコラス・ペイトン,7nsgGUCUyYIDa7w1v1syzl,,
3594578,Chiara Giorgianni,6VaUZw4Qyj96Id8UYbV3YQ,,
3594566,The Gods of the Rancid Weeds,6bCtvAL2eH7Bxf34FLXftY,,
3594564,David Brixx,62tSNE3s4LKXEcvNcLqZhU,,
3594563,Kriss Deville,4wdfi31okcvkMDWlvlmHhg,,
3594560,Giannis Christodoulidis,1ysUQ1lGw1icnRWhkRDjji,,
3594558,FABI,7zx42NM3fzkfZu7COuBbwK,,
3594557,Sha-la,1sbbm8hZnrOGPa70pgL27r,,
3594554,大竹真衣,6lMuivtSqDxTuYPqKIYsWO,,
3594553,夏南未,0S0pvtk45IaxtNJkJwhzJX,,
3594530,Michelle Amato,404tbD4LO3AJ05o9GoHvGm,,
3594529,Floyd Hartwell Hines,2ZIosZ0bZIdF3cQXHeGgpy,,
3594525,Chris Neufeld of Downshifter,4TwjuysykJB1Bqaedtz39D,,
3594520,정권진,6uybci6wDIA5C1S5nHd9DZ,,
3594513,Section,4eQmv8wczkQq1F0EbJeEOQ,,
3594510,VOST,2psl4NmOGZWOPN3G6nrNh0,,
3594497,THE DECODING SOCIETY,6Oe9kvFQsX5UPjuLIn3xMg,,
3594496,SHANNON JACKSON,0oW6ETC0BeKjCTEtIMmDp4,,
3594490,TÓTH ANDI,2CB4fn5tsyXIcK9VeLZX9e,,
3594484,Jfiive,0iF7r2UYBivFPahxjrz8ik,,
3594482,Ion Zyx,2qP6ftq3oC0FlHkagYR6eU,,
3594481,Pythagor,0z2jf7tLAwcbEa6v2CjowW,,
3594480,Jack Rive,4mOfpzaRWt50nfo4H23t4y,,
3594442,PeCh,0WGzkQDIhn9cx2G0ivNAfo,308532328,
3594440,MrRobotic,5uaWhzAtUyNLTmxaMrvcLg,,
3594400,Harald Haselmayr,5ZdZl2P8BQpqlGMzPXQbEc,,
3594392,Deivy wiz,4kiluw7IoCvBEXBCDqDFTq,,
3594386,Andreotti,46w63JaVe5tGEy2CGFndro,,
3594382,Songs On The Moon,7pARwZNsXOsLQQ2A21S4Us,,
3594370,Echo of Light,36MlHvEVns1q8zp9zEEIPu,,
3594361,Rebls Dolla,25ou6YlUzXKvcKNYtYKfmm,1502372450,
3594348,Angel Rios,3Svvc4vpNPuRPMkcDKJ9mU,,
3594343,K-Iri,1x0NGXguf4a1pngR6udB9r,,
3594331,Sherdhin,2rWe9kH2JfCfbPVEzQpVkR,,
3594326,Otyno,0jGwpKYpWj62h2mhK66qRD,,
3594324,Diver City,7ft75GhLeAiJUMiADzLIC7,514141544,
3594319,KAMARA,2kDznbj9NIRubPN3MmX2Xg,,
3594315,Patrick David Wilson,5CET8KxJD8Ri2Kw4tE9WnW,,
3594313,Adam Francis Routh,685tKHlA5EJE4caD3PecKz,,
3594300,Alba,1uUTjYY21up0t23oZ7whSl,,
3594290,Sabú Porrina,4gPSGuEUPSH6ybUFN6chhj,,
3594286,Mc Gugu MJ,3bYCLyGL6wBIIc84hNcgon,,85072822
3594270,Pbsr,16ZpfparjiJLxLeqL3Rp5m,,
3594257,Ap Du 113,1ZHN71pYAgMt2YKrOIJAPS,,
3594253,Cynthia Otis,2kzReNxP1QBGOjo06kO2qP,,
3594248,Oero,0xPFWp4ADum8rhaC2fEtaL,,
3594246,William Romano,5iVmjCpSYGApQpoK2iLt5O,,
3594244,Dope Dragunz,7ikN97E3F2sZ5iJP9xrR14,,
3594243,Y'anna Crawley,4bhprGYuViPc6MTCDvLuKn,,
3594241,"Rodrigo Joglar, Francisco Alvarado",60Qn7lA1tEitBQcUUgbHir,,
3594236,Drew Hill,1fsTF2AiFNsaeMRof8mo5k,,
3594234,Breeana Burr,0ewVOjYTmDhwc7ogXemykE,,
3594229,Harim,4bQH1EY9ieJEEDGnzPyhuQ,,
3594221,Brett Clarke,17rSBgiWGeDu2dNH0n0ouz,,
3594218,Arline Maher,18VzhNaRDtL4eH3icP5wVZ,,
3594217,Charles Matheson,6LWJ8dxzG3FcQAQ9tD882k,,
3594212,Yvng Tommy,169XCrMDqJgvTz70qmwj6a,,
3594189,Covanje,57V9bp9HiEUCYBdCmodWn5,,
3594185,Devin Penelton,4bWosaymsjOpvACZOzfIbW,,
3594167,RAD363,3C3yZpNTOU7e2DlZW9lRWu,,
3594162,Jrome Dillard,5iOKIfTSRXu7ea6MYWBdqs,,
3594152,Eric Baumont,3Dgt2QxooLShXsIrjFJcs3,,
3594146,Brittany Nickell,3FrlMw6d7IuBC7Hvjw9W4J,,
3594145,Timothy Murray,2FdwtCRNjFgdQptn9Te92y,,
3594144,Anna Dugan,6H0oDpN06b7rYeGoVRNMIC,,
3594117,Pulsar,4bIZ35Pos4Ps8Br5fa6Meh,,
3594116,Mizgin Kilic,6cWHxElbWLYkIVktPmaqOL,,
3594097,Hien,0dInA3eS3A9CkGCXainJBL,,
3594017,Ifjuma,3jak5D0RXaa3CEBCXCH514,,
3594016,Etoejar,25e5soN5DrHi91v0FhnvaE,,
3593996,EL Niño,03wWBdj6fxcS7o9dVuJloO,,
3593873,Orcabi,2PVTGQ0kHhSS70tPdIZGeN,,
3593784,Ólavur Jacobsen,4953E36DEbWR1wbVlNg9IZ,,
3593749,Maud,0pDulaSrCtC0f8H6b7pGSK,,
3593598,Port Grimaud Feat. Lara Banston,7acK3SvO1KpA4q4Xr8SSCA,,
3593515,Zeiid,4ro2IE4O2Igc2sD1KQcIm5,,
3689670,Monk Turner,6N811kZFi0Y4ko3cVBBWJR,,
3689660,Jaz Luna (Sax Calacas Jazz Band),41BJ00YpX0jInJzBXWuIZD,,
3689601,Naitus,4xUTRso08Rv2ZGLNE6nHKF,,
3689595,Knat Turner,7kwosoQs5TObXMXoBrHGnp,,
