,artist,track,chart,tracks_uri,albums_uris
41,Jack Harlow,Whats Poppin,hot-100,spotify:track:1jaTQ3nqY3oAAYyCTbIvnM,spotify:album:7AaqMMiYMvnMB3RcS8u3EY
42,Drake,From Florida With Love,hot-100,spotify:track:0YkUwXxnTkeJBvt5upeEtP,spotify:album:6OQ9gBfg5EXeNAEwGSs6jK
43,Rod Wave,Heart On Ice,hot-100,spotify:track:6fWa5CRgy0z30OeGZyMBvD,spotify:album:3M7JdMPr8cOC2fboCXQh7s
44,Mustard ,Ballin',hot-100,spotify:track:3QzAOrNlsabgbMwlZt7TAY,spotify:album:2WrNHOba5u6P9S9xEboaUy
45,Travis Denning,After A Few,hot-100,spotify:track:1z6wl2rwKatfmza6usanWw,spotify:album:5Z6UUS0n3Oz7i2bDLEdbWL
46,Tones,Dance Monkey,hot-100,spotify:track:2XU0oxnq2qxCpomAAuJY8K,spotify:album:0UywfDKYlyiu1b38DRrzYD
47,Carly Pearce ,I Hope You're Happy Now,hot-100,spotify:track:0Al3wN3keprGTSgG8NBwjr,spotify:album:44gX26I9jSjyy1KXAgquPc
48,Drake,Losses,hot-100,spotify:track:6fLVTVaHWaEfVKfEgbkf4D,spotify:album:6OQ9gBfg5EXeNAEwGSs6jK
49,Drake,War,hot-100,spotify:track:1I55Ea0zVoSKs6MqW7DQ3i,spotify:album:6OQ9gBfg5EXeNAEwGSs6jK
50,Lewis Capaldi,Before You Go,hot-100,spotify:track:7ce20yLkzuXXLUhzIDoZih,spotify:album:0488X5veBK6t3vSmIiTDJY
51,BENEE,Supalonely,hot-100,spotify:track:4nK5YrxbMGZstTLbvj6Gxw,spotify:album:3ZJSoxsPMkNC9eb6gUn0Q8
52,Sam Hunt,Hard To Forget,hot-100,spotify:track:10xuH52YSXHWFwCaF1fsDd,spotify:album:1xRcR4iSouBrfVhuqFkPAJ
53,Lil Baby,Emotionally Scarred,hot-100,spotify:track:7ge7BHazYbVKi8qyZUX1Bm,spotify:album:1ynyQdPQiXdYJNQEDL1S3d
54,Lil Baby,Sum 2 Prove,hot-100,spotify:track:2u3EyuCqqV31woqGvO9LBz,spotify:album:7KPtAktRGrVjy0QV3MXnZk
55,Luke Combs,Six Feet Apart,hot-100,spotify:track:3aMUiKCIXJeurR5ppEMJZD,spotify:album:32lkvwsTJrI3SVQUuKTy2R
56,Lil Baby,All In,hot-100,spotify:track:1ZRjLZcNTm1vUgrexBp3px,spotify:album:5VVILXgB1joAxfZkOlWs8U
57,twenty one pilots,Level Of Concern,hot-100,spotify:track:6xZ4Q2k2ompmDppyeESIY8,spotify:album:4h3HXlnt6lryGzGbWmcFuY
58,Lil Baby ,We Paid,hot-100,spotify:track:6gxKUmycQX7uyMwJcweFjp,spotify:album:6uhEg4ASZYLIilZFCBFy1r
59,The Weeknd,In Your Eyes,hot-100,spotify:track:7szuecWAPwGoV1e5vGu8tl,spotify:album:4yP0hdKOZPNshxUOjY0cZj
60,Pop Smoke,Dior,hot-100,spotify:track:79s5XnCN4TJKTVMSmOx8Ep,spotify:album:6d1vGZsr6Uy3h9IigBpPAf
