,artist,track,chart,tracks_uri,albums_uris
695,Belinda Carlisle,Heaven Is A Place On Earth,greatest-billboards-top-songs-80s,spotify:track:37Q5anxoGWYdRsyeXkkNoI,spotify:album:3fzHLg5RfRXzQlHlR4F7JG
696,Peter Gabriel,Sledgehammer,greatest-billboards-top-songs-80s,spotify:track:029NqmIySn1kOY305AAhxT,spotify:album:0hQb1KT6L3iEYRkS5u8cjm
697,Fine Young Cannibals,She Drives Me Crazy,greatest-billboards-top-songs-80s,spotify:track:4d6eqRtpDX7tydHJGDZUBQ,spotify:album:6CoeDRu0SmpFtLZMcRTO2F
698,Cyndi Lauper,Time After Time,greatest-billboards-top-songs-80s,spotify:track:7o9uu2GDtVDr9nsR7ZRN73,spotify:album:1FvdZ1oizXwF9bxogujoF0
699,Journey,Open Arms,greatest-billboards-top-songs-80s,spotify:track:2w4EpqGasrz9qdTwocx54t,spotify:album:43wpzak9OmQfrjyksuGwp0
700,Lionel Richie,Dancing On The Ceiling,greatest-billboards-top-songs-80s,spotify:track:5i1L5RGsKcEgfVfjts6emP,spotify:album:3OwSJwmIC3lB5heK6kYKQM
701,Lionel Richie,Truly,greatest-billboards-top-songs-80s,spotify:track:7AslBsiVLQAGrmFmi79ZeK,spotify:album:5R8J87WpdqO4t4pB4F4LNJ
702,Bad English,When I See You Smile,greatest-billboards-top-songs-80s,spotify:track:0tKjVEJlX3IZ5L1rEJc5hh,spotify:album:0oNZnqsNbKKMKedFNNRs69
703,Juice Newton,Queen Of Hearts,greatest-billboards-top-songs-80s,spotify:track:6xBUWSz8INNHO6wFYuPtQl,spotify:album:0fSvQOkU8rRgcsW6MerdVw
704,Kool ,Cherish,greatest-billboards-top-songs-80s,spotify:track:7ktxXsACTciz3gAtuzd1uV,spotify:album:1rDjSDjjzVfpnsb3GgREFf
705,Club Nouveau,Lean On Me,greatest-billboards-top-songs-80s,spotify:track:6HhKj3GiPxDI6ME9Pjx0YU,spotify:album:6GzcXhTWYats2m1R4Wy7uA
706,Terence Trent D'Arby,Wishing Well,greatest-billboards-top-songs-80s,spotify:track:2bvzxeD1hPWEYotw40Euq9,spotify:album:0nw38yniBfbluS93FdYcbE
707,Klymaxx,I Miss You,greatest-billboards-top-songs-80s,spotify:track:6lYtOM3SextzaJiA53Gukd,spotify:album:0sZIOO5SMKCIARmyV2zgBO
708,Janet Jackson,When I Think Of You,greatest-billboards-top-songs-80s,spotify:track:1eHtOYCQx68m3NanILtMFG,spotify:album:5rgQevCH5hYBGnNkWQwjsI
709,Stevie Nicks,Stop Draggin' My Heart Around,greatest-billboards-top-songs-80s,spotify:track:66LhCsc06aTa2Ig7iYPDSP,spotify:album:0IomjU2bXFng4LQBYn7Het
710,George Michael,Father Figure,greatest-billboards-top-songs-80s,spotify:track:0L0T4tMAaGqLgIVj1MOj9t,spotify:album:34K1Kvskt9arWy8E1Gz3Lw
711,Martika,Toy Soldiers,greatest-billboards-top-songs-80s,spotify:track:4jh9olf0OKCokpzxSyLeJx,spotify:album:2qoLTSXxsdiHpuoPWrpJiy
712,Joe Cocker,Up Where We Belong,greatest-billboards-top-songs-80s,spotify:track:4U6mBgGP8FXN6UH4T3AJhu,spotify:album:0OdFUi5lSenjXrgy4dVAP8
713,Carl Anderson ,Friends And Lovers,greatest-billboards-top-songs-80s,spotify:track:19u5G7pWq3Nj6lQiP4W4Hp,spotify:album:1bsg5MNMpHiXh6atVjXWv6
714,Madonna,Live To Tell,greatest-billboards-top-songs-80s,spotify:track:095MMFhB9qxPx2VsmvjnUs,spotify:album:6fmnT17jc2Sc69q3nza1eD
715,Crowded House,Don't Dream It's Over,greatest-billboards-top-songs-80s,spotify:track:1EZ4lVRvJZ774MFI69lod2,spotify:album:6W8rZvQ97nvTyOj26TRHJJ
716,Whitney Houston,Where Do Broken Hearts Go,greatest-billboards-top-songs-80s,spotify:track:7tLtIZclwLWk54PFAyDv5T,spotify:album:5Vdzprr5cOqXQo44eHeV7t
717,Bon Jovi,You Give Love A Bad Name,greatest-billboards-top-songs-80s,spotify:track:0rmGAIH9LNJewFw7nKzZnc,spotify:album:0kBfgEilUFCMIQY5IOjG4t
718,Daryl Hall John Oates,Say It Isn't So,greatest-billboards-top-songs-80s,spotify:track:2bZswvNGESo7MKeg7SQ9rp,spotify:album:4tUyNf5dGXwY4TaMaxwhqF
719,Wang Chung,Everybody Have Fun Tonight,greatest-billboards-top-songs-80s,spotify:track:3ZdX5IvBQqj12Gybyw5ae2,spotify:album:0gx0bvyF4UHHNP1xvSwnWx
720,Bananarama,Venus,greatest-billboards-top-songs-80s,spotify:track:4XX1pFUkQOZTYp6Hb6a6Ae,spotify:album:6CVuruIUWoYViZM97wgq9h
721,Culture Club,Do You Really Want To Hurt Me,greatest-billboards-top-songs-80s,spotify:track:1I6q6nwNjNgik1Qe8Oi0Y7,spotify:album:4y1hBzoffx9DaGXbObeC2w
722,Soul II Soul,Back To Life,greatest-billboards-top-songs-80s,spotify:track:7vvRkLPIvfjjmCIqNxBuEZ,spotify:album:1y3jN9LkTstdnogs1Xywni
723,Berlin,"Take My Breath Away (Love Theme From ""Top Gun"")",greatest-billboards-top-songs-80s,spotify:track:15MJ5NThPjj6xhPcts8MiY,spotify:album:6K8iDZW8jPaoiqSzFFebJA
724,Billy Idol,Mony Mony,greatest-billboards-top-songs-80s,spotify:track:3GfGTJ2xzC0rqKgdjNJLOC,spotify:album:0dvStBuexp9Chq1hg3Yjes
725,Michael Jackson,The Girl Is Mine,greatest-billboards-top-songs-80s,spotify:track:1diEQsD8PJC9hXB5Gpfgtn,spotify:album:1C2h7mLntPSeVYciMRTF4a
726,Anita Baker,Giving You The Best That I Got,greatest-billboards-top-songs-80s,spotify:track:1oFRzQ2srUSLeIPOaRMssu,spotify:album:2dfknhyrFffWkQMYAAQnww
727,Duran Duran,The Reflex,greatest-billboards-top-songs-80s,spotify:track:4sz1Ng2Cgidfqqiy0pNL6R,spotify:album:0jBIq5EY9zRBZJuCE9iuM1
728,Cutting Crew,(I Just) Died In Your Arms,greatest-billboards-top-songs-80s,spotify:track:4ByEFOBuLXpCqvO1kw8Wdm,spotify:album:3wCe8HjHk6QNGcf5D3jgW1
729,Boston,Amanda,greatest-billboards-top-songs-80s,spotify:track:0gueEM4WIcdQeXIVm16qy3,spotify:album:3pLimjWjLrKEIrh36UvwHZ
730,Expose,Seasons Change,greatest-billboards-top-songs-80s,spotify:track:4b2qn7YRQkVAsbC8pWa7yn,spotify:album:2OWjaLUFuZ6sMzKmV9si4W
731,Bruce Springsteen,Dancing In The Dark,greatest-billboards-top-songs-80s,spotify:track:7FwBtcecmlpc1sLySPXeGE,spotify:album:0PMasrHdpaoIRuHuhHp72O
732,Marvin Gaye,Sexual Healing,greatest-billboards-top-songs-80s,spotify:track:3VZmChrnVW8JK6ano4gSED,spotify:album:3gPlX9Zs3tXZZKNCyoOkSm
733,Blondie,Rapture,greatest-billboards-top-songs-80s,spotify:track:2t4fXldHaO2kdwKqArNh5J,spotify:album:3OwSJwmIC3lB5heK6kYKQM
734,Steve Winwood,Higher Love,greatest-billboards-top-songs-80s,spotify:track:4j82wbusH9pd2CUIxK3CoN,spotify:album:6RZ9Ly3V7po7FV8Vx0VJ0p
735,Phil Collins,Sussudio,greatest-billboards-top-songs-80s,spotify:track:4qM461TqtpnP4GLRIXwEnW,spotify:album:1rVhockt4RAiZFaK3M3zPB
736,Bon Jovi,Bad Medicine,greatest-billboards-top-songs-80s,spotify:track:72hcFp4tYkd3dbNA9dZ3Pv,spotify:album:3mcKOl0KNe65BqiBa40WxR
737,Christopher Cross,Ride Like The Wind,greatest-billboards-top-songs-80s,spotify:track:7gUMShP1l20tC0xf17Zplk,spotify:album:2m2nl8cBT7bEgIA6LLmgah
738,Styx,The Best Of Times,greatest-billboards-top-songs-80s,spotify:track:7GRUpcvSQM9HrnC2CjYPG4,spotify:album:6PhLTeuN0G894bdSBTCwUF
739,Bob Seger ,Shame On The Moon,greatest-billboards-top-songs-80s,spotify:track:1Gxaks4MTbjMCAQ20rx4Iy,spotify:album:0uaavZx8ako3Kb6GFpb1G1
740,Chaka Khan,I Feel For You,greatest-billboards-top-songs-80s,spotify:track:4YlykSKxFj7KN7DQhrBwOG,spotify:album:1KdT7ZJhOeHyjy9LrrExic
741,Roxette,Listen To Your Heart,greatest-billboards-top-songs-80s,spotify:track:5JvsxPAHsGxwNq4xto2HtM,spotify:album:4rQV5S9FhajZdyzFfcyYw9
742,Whitesnake,Is This Love,greatest-billboards-top-songs-80s,spotify:track:3pHpV3pa96s4vuBP7sQq0V,spotify:album:70uPhkIhXTXM6MNNsMjAHx
743,Billy Ocean,Caribbean Queen (No More Love On The Run),greatest-billboards-top-songs-80s,spotify:track:4JEylZNW8SbO4zUyfVrpb7,spotify:album:7n4OT3zEZaEiyKKd6mFAhi
744,Don Henley,Dirty Laundry,greatest-billboards-top-songs-80s,spotify:track:7LFer4drCtWSyD8oxORZtC,spotify:album:2liPmoa0xyg9DcjKOryJ66
745,Fleetwood Mac,Hold Me,greatest-billboards-top-songs-80s,spotify:track:4kRMsLX7bJqjIfK44qJ9h6,spotify:album:0LfM3PGkXE6KvJEE1HkOnz
746,Def Leppard,Pour Some Sugar On Me,greatest-billboards-top-songs-80s,spotify:track:0PdM2a6oIjqepoEfcJo0RO,spotify:album:31oeDyCOLhgeZyktfxo0pE
747,Survivor,Burning Heart,greatest-billboards-top-songs-80s,spotify:track:2VN7uPrbryJ7nE2MXX3f9a,spotify:album:2wBiw6c2bGb4c9pnRdHw6X
748,Simply Red,If You Don't Know Me By Now,greatest-billboards-top-songs-80s,spotify:track:7DFawVSjI88xR9mjnWwURg,spotify:album:0R8Pl54TXSwXWtAEVaP7ew
749,George Michael,Monkey,greatest-billboards-top-songs-80s,spotify:track:2nzPzkGP9QSZ1lqvXTfyzT,spotify:album:34K1Kvskt9arWy8E1Gz3Lw
750,Cyndi Lauper,True Colors,greatest-billboards-top-songs-80s,spotify:track:2A6yzRGMgSQCUapR2ptm6A,spotify:album:31TRqoVBTQi0lzlPLtvINn
751,Mike ,The Living Years,greatest-billboards-top-songs-80s,spotify:track:4YBIuDWPsVy9pXLCUBORZN,spotify:album:2Ip0kyHG3zLfmlPJWZsfLB
752,Def Leppard,Love Bites,greatest-billboards-top-songs-80s,spotify:track:3Dfy8YIxq89i84t108TvMi,spotify:album:31oeDyCOLhgeZyktfxo0pE
753,Breathe,Hands To Heaven,greatest-billboards-top-songs-80s,spotify:track:0LBtQiEVfP4ysLQ43Do8uN,spotify:album:2t2kQu1Zd9vZRb71Vx1ASf
754,Richard Marx,Hold On To The Nights,greatest-billboards-top-songs-80s,spotify:track:3F2YXxSOC9dPmxXdrh6mYl,spotify:album:3C2cO3wo4f2bLzOpFypgmZ
755,Milli Vanilli,Baby Don't Forget My Number,greatest-billboards-top-songs-80s,spotify:track:3t4EJY6cTsb6FyP1EQzajK,spotify:album:6s8bfXrXEqaFFmAi02m7k4
756,Duran Duran,The Wild Boys,greatest-billboards-top-songs-80s,spotify:track:23M7cQkNJLiddeubvVgaQl,spotify:album:7xbWtTByfdMWFfxXmeFFl0
757,Air Supply,Making Love Out Of Nothing At All,greatest-billboards-top-songs-80s,spotify:track:01MXkFA8sL7at6txavDErt,spotify:album:1Z0JbC9RPMJNxE82vTQcIX
758,Stars On 45,Medley,greatest-billboards-top-songs-80s,spotify:track:1gQPqkrPZ1RypZvSYEAygs,spotify:album:7ETEBrmP4raFhNnyqeltsh
759,Simple Minds,Alive & Kicking,greatest-billboards-top-songs-80s,spotify:track:2x5IXUFOcvvBUtEpnCBNlp,spotify:album:4YimfceN1R0nOS9CefIFhm
760,Go-Go's,We Got The Beat,greatest-billboards-top-songs-80s,spotify:track:5kz9GDBTX846OXwqWoyKzF,spotify:album:1L4HE00En7eNK74voVZums
761,Earth,Let's Groove,greatest-billboards-top-songs-80s,spotify:track:3koCCeSaVUyrRo3N2gHrd8,spotify:album:1hj1SYbJYdXloRiSjsCLXg
762,Heart,These Dreams,greatest-billboards-top-songs-80s,spotify:track:1gN4wxYZXt7WBM2LAlS8MH,spotify:album:6Vg7x7zOtYon7HEE4m4oz0
763,Glenn Frey,You Belong To The City,greatest-billboards-top-songs-80s,spotify:track:0b8eSsBka9epA2J0wnPMax,spotify:album:6ABjDcLOPzXG9RR6wD9MwZ
764,Leo Sayer,More Than I Can Say,greatest-billboards-top-songs-80s,spotify:track:17M1JFSr2eEvo5dQnCIQim,spotify:album:5QVk6Q7MexmNGl5Uc1uAdV
765,Duran Duran,Hungry Like The Wolf,greatest-billboards-top-songs-80s,spotify:track:39lSeqnyjZJejRuaREfyLL,spotify:album:02tfQwJSOLP77oCd9U8bqm
766,Simply Red,Holding Back the Years,greatest-billboards-top-songs-80s,spotify:track:1yg7fwwYmx9DQ2TdXUmfpJ,spotify:album:4pk3tltFMVlT06MLJfmWTT
767,Ready For The World,Oh Sheila,greatest-billboards-top-songs-80s,spotify:track:5rEs9f9HPijxOFHAkaICft,spotify:album:3pLimjWjLrKEIrh36UvwHZ
768,Jody Watley,Looking For A New Love,greatest-billboards-top-songs-80s,spotify:track:6emP02iA3nQMJLtDjn75Cd,spotify:album:30zetsnd9mENuaA47D6wcr
769,Debbie Gibson,Foolish Beat,greatest-billboards-top-songs-80s,spotify:track:0KhiesN7gLBPEQhKsBmrI1,spotify:album:2I2QfpWLoBCOSG8Qa7xD8b
770,The Bangles,Eternal Flame,greatest-billboards-top-songs-80s,spotify:track:5MoDQWMDMaAGDEiWsJfeCi,spotify:album:4yaX6Gmlvo42PnGgBdhzGf
771,Lisa Lisa,Lost In Emotion,greatest-billboards-top-songs-80s,spotify:track:0p2lB3tOc2DJGTUltBxjkv,spotify:album:3kDq0nsk9B7EJ9MhaPXuqj
772,Madonna,Open Your Heart,greatest-billboards-top-songs-80s,spotify:track:3kme5Qos8h04yrKxsgur79,spotify:album:43lok9zd7BW5CoYkXZs7S0
773,Debarge,Rhythm Of The Night,greatest-billboards-top-songs-80s,spotify:track:5yGTQzYbEdY6B9RFZJypgt,spotify:album:13xiHt25Hn4WZ6OLzhK1n8
774,Debbie Gibson,Shake Your Love,greatest-billboards-top-songs-80s,spotify:track:6gM3uxq9TPkms83bTSlK10,spotify:album:2I2QfpWLoBCOSG8Qa7xD8b
775,Peter Cetera,The Next Time I Fall,greatest-billboards-top-songs-80s,spotify:track:7zSDDsIlks515d0tZGM64x,spotify:album:1O2sEdKLsSHROEyYgUQmnb
776,Glenn Frey,The Heat Is On,greatest-billboards-top-songs-80s,spotify:track:0PXw9NKvolWTo7U9JkNzmc,spotify:album:6ABjDcLOPzXG9RR6wD9MwZ
777,Kim Wilde,You Keep Me Hangin' On,greatest-billboards-top-songs-80s,spotify:track:4tG0sFBDqM8WPVjfkxnBLF,spotify:album:3pLimjWjLrKEIrh36UvwHZ
778,Atlantic Starr,Secret Lovers,greatest-billboards-top-songs-80s,spotify:track:6qoCBpEnqwsr7Fm51F7t3w,spotify:album:7LagigvT28XWa85Xetjh2o
779,Michael Jackson,The Way You Make Me Feel,greatest-billboards-top-songs-80s,spotify:track:0sKlV58cODrjxGFOyf9IXY,spotify:album:24TAupSNVWSAHL0R7n71vm
780,Bobby Brown,"On Our Own (From ""Ghostbusters II"")",greatest-billboards-top-songs-80s,spotify:track:0cAiOfc6uxr6NCyQ80ZigK,spotify:album:45h9TCnlSKB4P2ytSKxKSf
781,The Alan Parsons Project,Eye In The Sky,greatest-billboards-top-songs-80s,spotify:track:39qYD4J4BKvZMQgxfXl5bv,spotify:album:4BGd9BmpePqeSfHLeYiCDr
782,Fine Young Cannibals,Good Thing,greatest-billboards-top-songs-80s,spotify:track:6lRkdG1HurVS72F9GoBeWJ,spotify:album:6CoeDRu0SmpFtLZMcRTO2F
783,Chris de Burgh,The Lady In Red,greatest-billboards-top-songs-80s,spotify:track:1GeNWyZtCHbcp3ZWp8GTOO,spotify:album:5Yi08NDFoVAnvHoXqpp9O5
784,Boy Meets Girl,Waiting For A Star To Fall,greatest-billboards-top-songs-80s,spotify:track:5suJZTE8SpSmR4zMqxLg3V,spotify:album:0pvhletDH7CphbKErUtPCF
785,Sheriff,When I'm With You,greatest-billboards-top-songs-80s,spotify:track:3RJof5CojqlbgZ5adHw50O,spotify:album:23sISo3WqoIysj2AHHem3V
786,Genesis,Invisible Touch,greatest-billboards-top-songs-80s,spotify:track:480dDrqG7LO6qDaphHeXlM,spotify:album:5BDGtXKMQ6k267KX4PoGhP
787,Johnny Hates Jazz,Shattered Dreams,greatest-billboards-top-songs-80s,spotify:track:5KXKhCfPNS4342ly8tTf6w,spotify:album:2x3S4pCzJSpvObdkK8PY4u
788,Robert Palmer,Simply Irresistible,greatest-billboards-top-songs-80s,spotify:track:7mmhMfqs3knRMMlvnMPTHn,spotify:album:0GpLCi7mAAflASQlR26oib
789,Prince,Raspberry Beret,greatest-billboards-top-songs-80s,spotify:track:5jSz894ljfWE0IcHBSM39i,spotify:album:5FbrTPPlaNSOsChhKUZxcu
790,The B-52s,Love Shack,greatest-billboards-top-songs-80s,spotify:track:4W4wYHtsrgDiivRASVOINL,spotify:album:5BAzAODqIwttjj7wxmlNMS
791,Air Supply,The One That You Love,greatest-billboards-top-songs-80s,spotify:track:3FDAd5vW4P7xe1GBNOLyfD,spotify:album:1aEMnQLoZHDjibEDcisTMJ
792,Duran Duran,Notorious,greatest-billboards-top-songs-80s,spotify:track:4yopZ4FVYS0RWKkCagdIEm,spotify:album:3xXwaj6hVwx0pnLtMCHZdC
793,Rick Astley,Together Forever,greatest-billboards-top-songs-80s,spotify:track:76QJgXPE3oc1cnkE4PFHEn,spotify:album:6N9PS4QXF1D0OWPk0Sxtb4
794,Huey Lewis ,Jacob's Ladder,greatest-billboards-top-songs-80s,spotify:track:0huRoriGPIi0vSHFV2f3C9,spotify:album:5L0vaNLbzgP8RIJqs1zamE
795,Madonna,Who's That Girl,greatest-billboards-top-songs-80s,spotify:track:3G0NNqwQ1sqRpySr6soHlH,spotify:album:21vHnROXDZY51gJxsjTLXZ
796,Bette Midler,The Rose,greatest-billboards-top-songs-80s,spotify:track:562JrM9b7jiu8LgzV62x3o,spotify:album:6PXrZg7FMAGm1rnu6widwU
797,Cyndi Lauper,Girls Just Want To Have Fun,greatest-billboards-top-songs-80s,spotify:track:4y1LsJpmMti1PfRQV9AWWe,spotify:album:1FvdZ1oizXwF9bxogujoF0
798,Paula Abdul,(It's Just) The Way That You Love Me,greatest-billboards-top-songs-80s,spotify:track:41DB7gQ5IraC9I2ICfSLf2,spotify:album:4vENdlpcLq9LjJkjmFJttF
799,Tone-Loc,Wild Thing,greatest-billboards-top-songs-80s,spotify:track:0gljI0CtjpdZK6ecidfxto,spotify:album:6xE6A0Vwd2LmopR6Mn8UFG
800,Sheena Easton,Morning Train (Nine To Five),greatest-billboards-top-songs-80s,spotify:track:1qvDt6W8oaTO9Q4pFNMFEm,spotify:album:7bNpYL4bvBMLRyafghBrCs
801,Samantha Fox,Naughty Girls (Need Love Too),greatest-billboards-top-songs-80s,spotify:track:4FGAOmf2vxT7FF8w2vL6R6,spotify:album:12CMr3rPSq2al1lF4uK3Ev
802,Richard Marx,Endless Summer Nights,greatest-billboards-top-songs-80s,spotify:track:2iXH35MhsqO5Ry8a7iptpJ,spotify:album:3C2cO3wo4f2bLzOpFypgmZ
803,The Spinners,"Working My Way Back To You/Forgive Me, Girl",greatest-billboards-top-songs-80s,spotify:track:5OU4PqYhwypDsiviprGhSy,spotify:album:6F32GUEsoExF7rqp4ylrLB
804,Donna Summer,She Works Hard For The Money,greatest-billboards-top-songs-80s,spotify:track:4najoq04enA2iXePqQRac1,spotify:album:3pLimjWjLrKEIrh36UvwHZ
805,Rockwell,Somebody's Watching Me,greatest-billboards-top-songs-80s,spotify:track:6A4Jc8npNo79BOgsrPptLA,spotify:album:2X8UOIkZQdcz2Hi5Ynt2uk
806,Madonna,Material Girl,greatest-billboards-top-songs-80s,spotify:track:22sLuJYcvZOSoLLRYev1s5,spotify:album:43lok9zd7BW5CoYkXZs7S0
807,Michael Jackson,I Just Can't Stop Loving You,greatest-billboards-top-songs-80s,spotify:track:2fytePz8UsbUr8n33QBEcm,spotify:album:24TAupSNVWSAHL0R7n71vm
808,Culture Club,Time (Clock Of The Heart),greatest-billboards-top-songs-80s,spotify:track:5Jak77MTrWWypQr85wmXeo,spotify:album:3KlMmQJwwFDLAUop4AOycd
809,A Taste Of Honey,Sukiyaki,greatest-billboards-top-songs-80s,spotify:track:3FD0RyHoYObYJkBIDGra4W,spotify:album:3vS1iaaaiF31hK4vNIc6iM
810,Sting,If You Love Somebody Set Them Free,greatest-billboards-top-songs-80s,spotify:track:5Xhqe9xu6bKRSqLj1mS1SB,spotify:album:17mrdCgqrWfqpJlaCNGCdF
811,Neneh Cherry,Buffalo Stance,greatest-billboards-top-songs-80s,spotify:track:3XWgwgbWDI56mf1Wl3cLzb,spotify:album:2AyJzvREOnlnYhaBzF1Kxp
812,Sergio Mendes,Never Gonna Let You Go,greatest-billboards-top-songs-80s,spotify:track:2G9eWzsXMhtIFepkY71FVd,spotify:album:0O49TrEjUGebVhcjMdwxk7
813,Patrick Swayze,She's Like The Wind,greatest-billboards-top-songs-80s,spotify:track:36EWx5B78n8sSfpmtKrUUV,spotify:album:3LRhyjBARwKrCp28rmcmAM
814,Belinda Carlisle,Mad About You,greatest-billboards-top-songs-80s,spotify:track:3XGDOjfpQfZ3Bxu1um26HI,spotify:album:1hRPNTgN0W9mrbZBiXIi91
815,Tina Turner,We Don't Need Another Hero (Thunderdome),greatest-billboards-top-songs-80s,spotify:track:1qyJ6XpMHdsJD8pkiA7Qww,spotify:album:1ZFC0iOKUp4M16eHXVaeG4
816,Smokey Robinson,Cruisin',greatest-billboards-top-songs-80s,spotify:track:2gliw3L0oa4w8LqaHploje,spotify:album:6dePMhqoFfN5mm73ChBgOU
817,Corey Hart,Never Surrender,greatest-billboards-top-songs-80s,spotify:track:5U5p472hgeXUKvh0d8RL4K,spotify:album:5WrZRRqfnVPr9EbNSqG0cN
818,Eric Carmen,Make Me Lose Control,greatest-billboards-top-songs-80s,spotify:track:31HhcRSNcS8Rgv9ldIfh66,spotify:album:02CxAhdSRhzcm6XQ8m5RNp
819,Aretha Franklin,Freeway Of Love,greatest-billboards-top-songs-80s,spotify:track:0lpIVCLNQRBKffcRRNrHyh,spotify:album:7x58T4Q8rIR7rY9mPen1li
820,Young M.C.,Bust A Move,greatest-billboards-top-songs-80s,spotify:track:6YBOFDlOnCPX5FZXj3Nlhx,spotify:album:29vHf9KxRaZivjC4JJDs4p
821,Jody Watley,Real Love,greatest-billboards-top-songs-80s,spotify:track:0vbbwEUSkZf3oA1dLlIoFL,spotify:album:5uPBrDpKLr6PKnybKoQbbk
822,Prince,U Got The Look,greatest-billboards-top-songs-80s,spotify:track:2X6okzhnNPSzh9yxDMHHe3,spotify:album:1XsXHctYSQNyAd9BANCk2B
823,Air Supply,Every Woman In The World,greatest-billboards-top-songs-80s,spotify:track:6OxnToSgslbtjJuNSKSdDQ,spotify:album:3fB2z5YtmKvSCu77Z3nTnW
824,Kylie Minogue,The Loco-Motion,greatest-billboards-top-songs-80s,spotify:track:6UxJ3SEusbxEokxZRLEMsk,spotify:album:1AcwKhCdLGGW3ZTLKNGWVW
825,Breathe,How Can I Fall?,greatest-billboards-top-songs-80s,spotify:track:62oGUBJQGPa3emMGMejBhm,spotify:album:2t2kQu1Zd9vZRb71Vx1ASf
826,The Romantics,Talking In Your Sleep,greatest-billboards-top-songs-80s,spotify:track:7fRvtXvJMpGfTLdF0M09a1,spotify:album:0LMfbsue7HETT4P8Mqxbvg
827,Dexys Midnight Runners,Come On Eileen,greatest-billboards-top-songs-80s,spotify:track:3MrWxJaD2AT0W9DjWF64Vm,spotify:album:7nCWzcMZanUBPZgZaKpzM6
828,Kenny Loggins,Danger Zone,greatest-billboards-top-songs-80s,spotify:track:34x6hEJgGAOQvmlMql5Ige,spotify:album:3uN87hwClF0hult2cxMbAW
829,Tommy Tutone,867-5309/jenny,greatest-billboards-top-songs-80s,spotify:track:6iX1f3r7oUJnMbGgQ2gx1j,spotify:album:7aks5lgwJAdiZLN51UjkU1
830,Whitney Houston,You Give Good Love,greatest-billboards-top-songs-80s,spotify:track:2BmrTfv7o5fMApOtEHWhXX,spotify:album:04arXzlpe9GdzQ8yPzAjAE
831,Elton John,I Don't Wanna Go On With You Like That,greatest-billboards-top-songs-80s,spotify:track:2Gd10PZnMktt3Cgo9s6yi0,spotify:album:6X5nYddBsYWFHQvhN6SGDK
832,Eric Carmen,"Hungry Eyes (From ""Dirty Dancing"")",greatest-billboards-top-songs-80s,spotify:track:7eafuv44YprITfOdzfVLoU,spotify:album:0mtLFaQ3hL371jsNraRo9g
833,Debbie Gibson,Only In My Dreams,greatest-billboards-top-songs-80s,spotify:track:03i9ehMBCqbxKw7wwEycFZ,spotify:album:2I2QfpWLoBCOSG8Qa7xD8b
834,Stevie Wonder,Master Blaster (Jammin'),greatest-billboards-top-songs-80s,spotify:track:5EAgXGJ8Kw5QAfhQkZXYqT,spotify:album:2tO3rrZ6q3OjHJMGVo13dh
835,Christopher Cross,Sailing,greatest-billboards-top-songs-80s,spotify:track:6Hu6dzwlvoyg3zBUC8k4BK,spotify:album:2m2nl8cBT7bEgIA6LLmgah
836,Stevie Wonder,That Girl,greatest-billboards-top-songs-80s,spotify:track:6FzuAWhUUkMPiv7LTLGFgE,spotify:album:04giHQ9zptJUHUvtIyxL9Z
837,Commodores,Nightshift,greatest-billboards-top-songs-80s,spotify:track:23IK8TF2MSiLnuEjaYPfVV,spotify:album:6QRiOSB53KZEe22LfWr6EP
838,Billy Ocean,"When The Going Gets Tough, The Tough Get Going",greatest-billboards-top-songs-80s,spotify:track:5UU5FbITNm5OunvHQdsKME,spotify:album:7n4OT3zEZaEiyKKd6mFAhi
839,Kenny Rogers,Coward Of The County,greatest-billboards-top-songs-80s,spotify:track:0KekQI54h1EECQsSZ2jd1A,spotify:album:2ZR5PK6hobhfSDNXfSbigo
840,Ambrosia,Biggest Part Of Me,greatest-billboards-top-songs-80s,spotify:track:6JHXiRD1QjMK1N6AQEnL04,spotify:album:4WsQBaO2DLvDZ5VRmsXbUH
841,Tina Turner,Typical Male,greatest-billboards-top-songs-80s,spotify:track:2fjJt3OQ8MPaZ3LMzAWiTA,spotify:album:1C9kaOfbTQ9dxYM4E2Yju2
842,Billy Joel,Tell Her About It,greatest-billboards-top-songs-80s,spotify:track:6kCJMxv445L2okuTiou1fR,spotify:album:3R3x4zIabsvpD3yxqLaUpc
843,Murray Head,One Night In Bangkok,greatest-billboards-top-songs-80s,spotify:track:4naH0xzkB9i4tvZFq5BB2i,spotify:album:03er7g2dF6F9cVO9bW4Mam
844,Bobby Brown,Every Little Step,greatest-billboards-top-songs-80s,spotify:track:2fthkgHrCwugToHyk5gZD9,spotify:album:45h9TCnlSKB4P2ytSKxKSf
845,Aerosmith,Angel,greatest-billboards-top-songs-80s,spotify:track:3kfXUGIdBNpyr2gBvU3Guj,spotify:album:3XYqOJI1YlX40kJTdzFEzp
846,Men Without Hats,The Safety Dance,greatest-billboards-top-songs-80s,spotify:track:4UB3TaEGEY9WoOpxYNMgy4,spotify:album:1bVEmlJR8R3PSd4FHe9xms
847,The Pointer Sisters,Jump (For My Love),greatest-billboards-top-songs-80s,spotify:track:1kdxZYbXrqBX2hWtw3VFQF,spotify:album:5jgQl00nL7ei2z5Biv7kdV
848,Styx,Mr. Roboto,greatest-billboards-top-songs-80s,spotify:track:7C0rG4oWO7VeZcffyW1sK9,spotify:album:0fRptUxZ5A1EAJww9bcqu6
