,track,artist,art_genres,chart,tracks_uri,albums_uris,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
437,(Just Like) Starting Over,John Lennon,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock']",greatest-hot-100-singles,spotify:track:5y0YreEOnQiKFAnCrcFIXz,spotify:album:15q7N7Wo307mfjqR29NpjF,57,0.301,0.701,0.79,6.06e-05,9.0,0.179,-6.16,1.0,0.0725,99.104,4.0,0.421
438,Royals,Lorde,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'nz pop', 'pop', 'post-teen pop']",greatest-hot-100-singles,spotify:track:2dLLR6qlu5UJ5gk0dKz0h3,spotify:album:0rmhjUgoVa17LZuS8xWQ3v,78,0.121,0.674,0.428,0.0,7.0,0.132,-9.504,1.0,0.122,84.878,4.0,0.337
439,The Boy Is Mine,Brandy ,[],greatest-hot-100-singles,spotify:track:0avXcZPIsWOlyOTPfzxrpY,spotify:album:1bX1kGfflxnkWQ3XncfD6v,2,0.248,0.693,0.666,9.32e-05,1.0,0.0815,-7.236,0.0,0.0422,93.038,4.0,0.694
440,Because I Love You (The Postman Song),Stevie B,['freestyle'],greatest-hot-100-singles,spotify:track:6VmodO1LYuO5RVpaqn5kwp,spotify:album:0ruAWd75Hr6xtUS2ht8HW1,41,0.743,0.347,0.37,2.67e-06,1.0,0.113,-10.027,1.0,0.0291,128.398,4.0,0.0584
441,I Love Rock 'N Roll,Joan Jett ,[],greatest-hot-100-singles,spotify:track:2Cdvbe2G4hZsnhNMKyGrie,spotify:album:555qwe1qUgLdee80TZ2CQt,73,0.326,0.535,0.716,0.0,4.0,0.659,-5.025,1.0,0.0431,94.379,4.0,0.901
442,All About That Bass,Meghan Trainor,"['dance pop', 'hip pop', 'pop', 'post-teen pop']",greatest-hot-100-singles,spotify:track:5jE48hhRu8E6zBDPRSkEq7,spotify:album:5W98Ab4VvQEuFEE4TIe5fE,70,0.0573,0.807,0.887,2.87e-06,9.0,0.124,-3.726,1.0,0.0503,134.052,4.0,0.961
443,Aquarius/Let The Sunshine In,The 5th Dimension,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk', 'folk rock', 'mellow gold', 'motown', 'soft rock', 'sunshine pop']",greatest-hot-100-singles,spotify:track:0HZlND4giwzgolBpaNIRGV,spotify:album:1kVipwgtVNAaHM7Py341Ch,58,0.446,0.293,0.74,0.00151,7.0,0.0998,-6.098,1.0,0.0399,118.23,4.0,0.516
444,Whoomp! (There It Is),Tag Team,['miami bass'],greatest-hot-100-singles,spotify:track:70jtZsS59vhmyZSsln0std,spotify:album:2oueO8U8lbUUzfw7XAikSp,57,0.00123,0.8,0.639,0.0,4.0,0.0803,-7.406,0.0,0.0439,129.443,4.0,0.45
445,Moves Like Jagger,Maroon 5,"['pop', 'pop rock']",greatest-hot-100-singles,spotify:track:1ChVXLcjZvXRFak4gY61Oo,spotify:album:2rVGU0lzyiobcIl3kGoeX5,5,0.0135,0.728,0.734,0.0,9.0,0.31,-5.12,1.0,0.0451,128.009,4.0,0.637
446,Ebony And Ivory,Paul McCartney,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock']",greatest-hot-100-singles,spotify:track:3fVSMbeq8tY3G85yxcJwRU,spotify:album:5g5wxDWLoyR1wyPjGTiD7n,63,0.0784,0.567,0.692,0.0,4.0,0.0338,-7.881,1.0,0.0379,160.697,4.0,0.708
447,Rush Rush,Paula Abdul,"['dance pop', 'europop', 'new wave pop', 'pop rock', 'soft rock', 'urban contemporary']",greatest-hot-100-singles,spotify:track:015qd1I4v00JIoK7yOUgKC,spotify:album:6gHhunUztPgpyBmzeie6MH,60,0.763,0.706,0.44,0.0,4.0,0.0958,-11.577,1.0,0.0493,90.012,4.0,0.395
448,That's What Friends Are For,Dionne ,[],greatest-hot-100-singles,spotify:track:1OzrlK57iLTIjmbZC1ppWM,spotify:album:7IigfsyypJlb6NW6f9vSt7,67,0.509,0.68,0.242,4.34e-05,0.0,0.071,-16.264,0.0,0.0322,120.126,4.0,0.169
449,Happy,Pharrell Williams,"['pop', 'pop rap']",greatest-hot-100-singles,spotify:track:60nZcImufyMA1MKQY3dcCH,spotify:album:0lrmy4pJINsFzycJvttX2W,80,0.219,0.647,0.822,0.0,5.0,0.0908,-4.662,0.0,0.183,160.019,4.0,0.962
450,Upside Down,Diana Ross,"['adult standards', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']",greatest-hot-100-singles,spotify:track:6JHwOe2SEq3lv8yjerb5i9,spotify:album:3OwSJwmIC3lB5heK6kYKQM,1,0.058,0.873,0.678,0.00819,0.0,0.0272,-13.978,1.0,0.0676,107.968,4.0,0.943
451,"Sugar, Sugar",The Archies,"['brill building pop', 'bubblegum pop', 'classic canadian rock', 'folk rock']",greatest-hot-100-singles,spotify:track:3iSws76HjaU7k49EqJVTfF,spotify:album:7spOTrIPTM8RrMIAhCjLJi,67,0.466,0.736,0.871,0.0,2.0,0.108,-2.786,1.0,0.0278,122.395,4.0,0.967
452,Just The Way You Are,Bruno Mars,"['pop', 'post-teen pop']",greatest-hot-100-singles,spotify:track:47Slg6LuqLaX0VodpSCvPt,spotify:album:6J84szYCnMfzEcvIcfWMFL,77,0.0151,0.637,0.843,0.0,5.0,0.0876,-5.413,1.0,0.0432,109.012,4.0,0.434
453,Dilemma,Nelly,"['canadian latin', 'canadian pop', 'dance pop', 'pop', 'pop rap', 'pop rock']",greatest-hot-100-singles,spotify:track:0ARK753YaiJbpLUk7z5yIM,spotify:album:4HUUHHXBXImwksfbSPqE7q,77,0.227,0.727,0.552,0.000164,2.0,0.198,-8.074,0.0,0.14,168.189,4.0,0.607
454,I Heard It Through The Grapevine,Marvin Gaye,"['classic soul', 'funk', 'motown', 'northern soul', 'quiet storm', 'soul']",greatest-hot-100-singles,spotify:track:7n1Y9VgzqeSRM3q77N4JWs,spotify:album:59H9zFmE6MJMSLEjigOeyg,2,0.23,0.716,0.493,0.0,3.0,0.103,-6.085,0.0,0.0358,117.057,4.0,0.547
455,Billie Jean,Michael Jackson,"['pop', 'r&b', 'soul']",greatest-hot-100-singles,spotify:track:5ChkMS8OtdzJeqyybCc9R5,spotify:album:1C2h7mLntPSeVYciMRTF4a,81,0.0236,0.92,0.654,0.0158,11.0,0.0359,-3.051,0.0,0.0401,117.046,4.0,0.847
456,Hot Stuff,Donna Summer,"['dance pop', 'disco', 'europop', 'hi-nrg', 'motown', 'new wave pop']",greatest-hot-100-singles,spotify:track:2Vnw8zKmjhr1jczUeaqiQg,spotify:album:4h63dypm4IYSGfCDe2Gcz6,66,0.00475,0.796,0.892,0.0187,0.0,0.0717,-8.31,1.0,0.0333,120.4,4.0,0.965
457,Gangsta's Paradise,Coolio,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",greatest-hot-100-singles,spotify:track:7lQWRAjyhTpCWFC0jmclT4,spotify:album:0fYctMs4EvoEqzDh8Kmg5g,80,0.0655,0.647,0.514,0.0,8.0,0.398,-10.05,1.0,0.0593,79.974,4.0,0.387
458,Abracadabra,The Steve Miller Band,"['contemporary country', 'country', 'country road']",greatest-hot-100-singles,spotify:track:2UoiDuPSArZ1dz81koCc4l,spotify:album:5KobZdOmcm7RJXRt3uyRwD,0,0.129,0.732,0.556,0.384,9.0,0.104,-12.654,0.0,0.0344,126.891,4.0,0.794
459,Play That Funky Music,Wild Cherry,"['disco', 'funk rock']",greatest-hot-100-singles,spotify:track:5uuJruktM9fMdN9Va0DUMl,spotify:album:27ompw8zlrCkWMacS21ysX,68,0.0435,0.814,0.672,0.0,9.0,0.061,-12.068,1.0,0.0619,109.394,4.0,0.933
460,"Say You, Say Me",Lionel Richie,"['adult standards', 'disco', 'mellow gold', 'motown', 'quiet storm', 'soft rock']",greatest-hot-100-singles,spotify:track:17CPezzLWzvGfpZW6X8XT0,spotify:album:5IvqScO5vIXQ2zrxtpCVHf,70,0.355,0.636,0.405,0.0,8.0,0.0804,-11.113,1.0,0.0287,128.068,4.0,0.257
461,My Sharona,The Knack,"['album rock', 'new wave pop', 'power pop']",greatest-hot-100-singles,spotify:track:1HOMkjp0nHMaTnfAkslCQj,spotify:album:6H0wsYDvFlATzXHn0IqVpi,73,0.0589,0.586,0.7,0.00125,0.0,0.0318,-9.558,1.0,0.0363,147.245,4.0,0.897
462,All Night Long (All Night),Lionel Richie,"['adult standards', 'disco', 'mellow gold', 'motown', 'quiet storm', 'soft rock']",greatest-hot-100-singles,spotify:track:4czNORk5MjW5WOn98bki32,spotify:album:1ET5QG3pd6NGqEFuZh0Qiz,71,0.15,0.748,0.603,0.000261,1.0,0.0269,-12.044,1.0,0.043,108.831,4.0,0.827
463,Nothing Compares 2 U,Sinead O'Connor,"['folk', 'lilith', 'new wave pop', 'pop rock']",greatest-hot-100-singles,spotify:track:3nvuPQTw2zuFAVuLsC9IYQ,spotify:album:34hQFIwGTLf03BZQmGL0iy,72,0.0425,0.511,0.574,2.33e-05,5.0,0.105,-7.016,1.0,0.0273,119.917,4.0,0.161
464,I Swear,All-4-One,"['boy band', 'dance pop', 'new jack swing', 'r&b', 'urban contemporary']",greatest-hot-100-singles,spotify:track:3V0PeMg2mhbYRtk9bioAwF,spotify:album:0OrEq5JeWVzislPoSg0fzZ,63,0.235,0.532,0.407,0.0,6.0,0.117,-9.658,0.0,0.0233,83.207,4.0,0.23
465,Family Affair,Mary J. Blige,"['dance pop', 'hip pop', 'neo soul', 'pop', 'pop rap', 'r&b', 'urban contemporary']",greatest-hot-100-singles,spotify:track:3aw9iWUQ3VrPQltgwvN9Xu,spotify:album:5QJmKwPveBV4IwLlo4OcG4,70,0.132,0.911,0.551,4.12e-05,8.0,0.0863,-3.75,0.0,0.0449,92.887,4.0,0.969
466,Waiting For A Girl Like You,Foreigner,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']",greatest-hot-100-singles,spotify:track:2OgVsp77En2nju8pnCieVU,spotify:album:2Pw51hAGvWpTA3AYl2WVuu,70,0.31,0.33,0.469,2.3e-06,10.0,0.0402,-9.286,0.0,0.0335,201.327,4.0,0.433
467,Killing Me Softly With His Song,Roberta Flack,"['adult standards', 'classic soul', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul', 'vocal jazz']",greatest-hot-100-singles,spotify:track:3gsCAGsWr6pUm1Vy7CPPob,spotify:album:4GxrvKiysSiDU1HHifh1PA,72,0.727,0.477,0.381,0.0,5.0,0.0615,-10.237,0.0,0.0342,121.568,4.0,0.329
468,Hurts So Good,John Cougar,"['album rock', 'classic rock', 'country rock', 'folk rock', 'heartland rock', 'mellow gold', 'pop rock', 'rock', 'singer-songwriter', 'soft rock']",greatest-hot-100-singles,spotify:track:67eX1ovaHyVPUinMHeUtIM,spotify:album:4gouGcdQn9OvjX42xnWrF0,71,0.0421,0.785,0.737,9.93e-05,9.0,0.108,-5.306,1.0,0.0363,125.447,4.0,0.971
469,HOW DO I LIVE,LeAnn Rimes,"['country', 'country dawn', 'dance pop', 'pop rock']",greatest-hot-100-songs-by-women,spotify:track:7BD50ATrF3Vab5FQy7vtK8,spotify:album:5GIEvyzVeUKAs6Uf2EeoqD,66,0.128,0.577,0.462,0.0,2.0,0.0822,-7.989,1.0,0.0279,128.303,4.0,0.258
470,Call Me (Theme From American Gigolo),Blondie,"['candy pop', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'power pop', 'rock']",greatest-hot-100-songs-by-women,spotify:track:6wzbWsPbfIR0nBjSqdbV7m,spotify:album:1VuNXmZV6eIfUwglRlM9Ya,34,0.0168,0.594,0.799,0.00231,2.0,0.085,-7.938,1.0,0.0295,143.047,4.0,0.672
471,I Love Rock 'n Roll,Joan Jett ,[],greatest-hot-100-songs-by-women,spotify:track:2Cdvbe2G4hZsnhNMKyGrie,spotify:album:555qwe1qUgLdee80TZ2CQt,73,0.326,0.535,0.716,0.0,4.0,0.659,-5.025,1.0,0.0431,94.379,4.0,0.901
472,Best Of My Love,The Emotions,"['chicago soul', 'classic soul', 'disco', 'funk', 'girl group', 'jazz funk', 'motown', 'post-disco', 'quiet storm', 'soul', 'southern soul', 'urban contemporary']",greatest-hot-100-songs-by-women,spotify:track:2M2WJ7gBlcKNxdhyfPp9zY,spotify:album:7iJCy3T66FJmXT7LGVd3QA,66,0.447,0.784,0.713,0.14,0.0,0.0904,-6.865,1.0,0.0339,115.443,4.0,0.97
473,Big Girls Don't Cry,Fergie,"['dance pop', 'hip pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",greatest-hot-100-songs-by-women,spotify:track:3Q4WeJmzxuDpzMu9QjQqbM,spotify:album:0jwuTvP3hp2jFY08VLgvnD,74,0.205,0.708,0.641,0.0,7.0,0.0945,-4.296,1.0,0.0335,113.082,4.0,0.253
474,The Way We Were,Barbra Streisand,"['adult standards', 'mellow gold', 'soft rock']",greatest-hot-100-songs-by-women,spotify:track:1vZTgn4JXWMahR8r99ug5H,spotify:album:0vTu2dD57pVlPvd3pfxUSS,64,0.885,0.264,0.32,0.00141,9.0,0.134,-11.716,1.0,0.0325,138.108,3.0,0.171
475,Do That To Me One More Time,Captain ,[],greatest-hot-100-songs-by-women,spotify:track:0m4jVVZrsv0bLkAr1uM6UG,spotify:album:6J8P3xCsQr5BPoEoukStSk,64,0.563,0.728,0.524,0.000131,7.0,0.0913,-8.227,1.0,0.0255,90.262,4.0,0.51
476,Like A Virgin,Madonna,"['dance pop', 'pop']",greatest-hot-100-songs-by-women,spotify:track:1ZPlNanZsJSPK5h9YZZFbZ,spotify:album:2IU9ftOgyRL2caQGWK1jjX,70,0.202,0.773,0.656,0.00323,3.0,0.0697,-10.88,0.0,0.0381,119.754,4.0,0.971
477,I Will Survive,Gloria Gaynor,['disco'],greatest-hot-100-songs-by-women,spotify:track:7cv28LXcjAC3GsXbUvXKbX,spotify:album:2BU2SNYoIPtZvGEJckdIhx,71,0.0131,0.777,0.725,0.00805,0.0,0.246,-8.681,1.0,0.05,116.669,4.0,0.529
478,Bleeding Love,Leona Lewis,"['british soul', 'dance pop', 'europop', 'neo mellow', 'pop', 'post-teen pop', 'talent show', 'uk pop', 'urban contemporary']",greatest-hot-100-songs-by-women,spotify:track:7wZUrN8oemZfsEd1CGkbXE,spotify:album:0VaAFegRAAn4OCg7p4QjN5,77,0.188,0.638,0.656,0.0,5.0,0.146,-5.886,1.0,0.0357,104.036,4.0,0.225
479,Independent Women Part I,Destiny's Child,"['dance pop', 'girl group', 'hip pop', 'pop', 'r&b', 'urban contemporary']",greatest-hot-100-songs-by-women,spotify:track:7JuMBlUywiUQdgjYtpJvsf,spotify:album:50cAtU36o98PzHpOBPWuLG,28,0.347,0.742,0.591,4.54e-06,6.0,0.168,-3.78,0.0,0.2,97.958,4.0,0.932
480,Foolish,Ashanti,"['dance pop', 'hip hop', 'hip pop', 'pop', 'r&b', 'rap', 'urban contemporary']",greatest-hot-100-songs-by-women,spotify:track:6zMUIb4uce1CzpbjR3vMdN,spotify:album:5M3BrdaT0TV5SsYsM5PM8X,71,0.337,0.665,0.696,0.0,0.0,0.106,-5.763,1.0,0.0521,90.116,4.0,0.711
481,The First Time Ever I Saw Your Face,Roberta Flack,"['adult standards', 'classic soul', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul', 'vocal jazz']",greatest-hot-100-songs-by-women,spotify:track:0SxFyA4FqmEQqZVuAlg8lf,spotify:album:2ARWEOvaUgm4FSj25MpY6F,64,0.731,0.311,0.0264,0.00205,0.0,0.156,-21.644,1.0,0.037,120.653,4.0,0.139
482,Someone Like You,Adele,"['british soul', 'pop', 'uk pop']",greatest-hot-100-songs-by-women,spotify:track:4kflIGfjdZJW4ot2ioixTB,spotify:album:1azUkThwd2HfUDdeNeT147,78,0.892,0.559,0.33,0.0,9.0,0.0975,-8.251,1.0,0.0285,135.109,4.0,0.285
483,BECAUSE YOU LOVED ME,Celine Dion,"['canadian pop', 'dance pop']",greatest-hot-100-songs-by-women,spotify:track:28UMiBhn383n9S7GL4tsxD,spotify:album:2vk0n8aeQSO74VtQBbNDPR,74,0.314,0.614,0.466,0.0,1.0,0.099,-9.881,1.0,0.0327,119.916,4.0,0.178
484,Shake It Off,Taylor Swift,"['dance pop', 'pop', 'post-teen pop']",greatest-hot-100-songs-by-women,spotify:track:0cqRj7pUJDkTCEsJkx8snD,spotify:album:1yGbNOtRIgdIiGHOEBaZWf,78,0.0647,0.647,0.8,0.0,7.0,0.334,-5.384,1.0,0.165,160.078,4.0,0.942
485,Breathe,Faith Hill,"['contemporary country', 'country', 'country dawn', 'country road', 'pop rock']",greatest-hot-100-songs-by-women,spotify:track:3y4LxiYMgDl4RethdzpmNe,spotify:album:3BGPil8BDPVoDK0lnUPtvb,65,0.173,0.529,0.496,0.0,7.0,0.251,-9.007,1.0,0.029,136.859,4.0,0.278
486,I'm Sorry,Brenda Lee,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rockabilly']",greatest-hot-100-songs-by-women,spotify:track:7uy3sTjPiOWfiodymnlpkq,spotify:album:1MGM1GQX7YGdyOM4Wuf197,24,0.912,0.574,0.246,0.00684,10.0,0.129,-9.148,1.0,0.0304,101.483,3.0,0.327
487,Irreplaceable,Beyonce,"['dance pop', 'pop', 'post-teen pop', 'r&b']",greatest-hot-100-songs-by-women,spotify:track:6RX5iL93VZ5fKmyvNXvF1r,spotify:album:0Zd10MKN5j9KwUST0TdBBB,72,0.0293,0.447,0.694,5.46e-06,7.0,0.167,-4.637,0.0,0.382,175.868,4.0,0.509
488,Total Eclipse Of The Heart,Bonnie Tyler,"['europop', 'mellow gold', 'new wave pop', 'soft rock']",greatest-hot-100-songs-by-women,spotify:track:7wuJGgpTNzbUyn26IOY6rj,spotify:album:0VJI3wpebzRyVHq0eZQidb,73,0.145,0.431,0.723,0.0,8.0,0.375,-5.887,1.0,0.056,130.547,4.0,0.189
489,Walk Like An Egyptian,The Bangles,"['album rock', 'dance rock', 'europop', 'jangle pop', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'paisley underground', 'pop rock', 'rock', 'soft rock']",greatest-hot-100-songs-by-women,spotify:track:1Jwc3ODLQxtbnS8M9TflSP,spotify:album:4yaX6Gmlvo42PnGgBdhzGf,64,0.00344,0.724,0.891,4.66e-05,11.0,0.3,-7.818,1.0,0.0995,103.022,4.0,0.819
490,E.T.,Katy Perry,"['dance pop', 'pop', 'post-teen pop']",greatest-hot-100-songs-by-women,spotify:track:4z8ssgZfs5TzKiO8HaGWXO,spotify:album:5BvgP623rtvlc0HDcpzquz,65,0.0213,0.603,0.872,0.0,5.0,0.366,-5.404,0.0,0.0792,150.104,4.0,0.691
491,"To Know Him, Is To Love Him",The Teddy Bears,[],greatest-hot-100-songs-by-women,spotify:track:2fa1vwxc0cs3tX7hTr7mSR,spotify:album:62cFO6tELqOgpuJhM7p1yC,23,0.884,0.199,0.344,4.06e-05,2.0,0.122,-10.649,1.0,0.0309,174.572,3.0,0.306
492,Fallin',Alicia Keys,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",greatest-hot-100-songs-by-women,spotify:track:3unsLiH5FXmaDWtT5Imolu,spotify:album:1SLgJeTdzDAJLcDyQqoWnu,73,0.263,0.653,0.609,0.00101,11.0,0.233,-7.519,0.0,0.037,95.982,3.0,0.482
493,Creep,TLC,"['atl hip hop', 'dance pop', 'girl group', 'hip hop', 'hip pop', 'new jack swing', 'pop', 'pop rap', 'r&b', 'urban contemporary']",greatest-hot-100-songs-by-women,spotify:track:1aWV3uY3SIEZVbmv45oFWS,spotify:album:5eg56dCpFn32neJak2vk0f,66,0.0193,0.811,0.458,1.41e-06,5.0,0.0526,-9.688,0.0,0.0402,92.94,4.0,0.797
494,"Evergreen (Love Theme From ""A Star Is Born"")",Barbra Streisand,"['adult standards', 'mellow gold', 'soft rock']",greatest-hot-100-songs-by-women,spotify:track:2IcqY68BxP1ONPi3ME6aje,spotify:album:435mubtZvkoTYIPXWy3seP,65,0.932,0.335,0.303,0.0271,9.0,0.0907,-10.943,1.0,0.0315,114.224,4.0,0.186
495,Goodies,Ciara,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'rap', 'urban contemporary']",greatest-hot-100-songs-by-women,spotify:track:3dFwpxh2yH7C7p9BGEKLVB,spotify:album:71gUhKYZIWmmjqAHlY4Br3,66,0.0277,0.826,0.647,1.52e-06,5.0,0.298,-6.306,0.0,0.0491,102.017,4.0,0.872
496,Waterfalls,TLC,"['atl hip hop', 'dance pop', 'girl group', 'hip hop', 'hip pop', 'new jack swing', 'pop', 'pop rap', 'r&b', 'urban contemporary']",greatest-hot-100-songs-by-women,spotify:track:6qspW4YKycviDFjHBOaqUY,spotify:album:5eg56dCpFn32neJak2vk0f,72,0.311,0.77,0.505,7.4e-05,1.0,0.0777,-7.345,1.0,0.0828,171.798,4.0,0.757
497,Boogie Oogie Oogie,A Taste Of Honey,"['boogie', 'disco', 'post-disco']",greatest-hot-100-songs-by-women,spotify:track:0y0QpmcF1G3F79rjk3fjUx,spotify:album:2WDP1yNTx3cBR9LBE4Ribh,50,0.0991,0.835,0.522,0.00184,2.0,0.111,-10.828,0.0,0.0916,123.934,4.0,0.91
498,Woman In Love,Barbra Streisand,"['adult standards', 'mellow gold', 'soft rock']",greatest-hot-100-songs-by-women,spotify:track:1pTGc8pwyo6xtgXBKCBcFn,spotify:album:5mMebbufullX8FIhpCxwCt,68,0.248,0.469,0.278,0.000126,3.0,0.133,-16.311,0.0,0.028,169.735,4.0,0.331
499,Just Dance,Lady Gaga,"['dance pop', 'pop', 'post-teen pop']",greatest-hot-100-songs-by-women,spotify:track:1dzQoRqT5ucxXVaAhTcT0J,spotify:album:1qwlxZTNLe1jq3b0iidlue,73,0.0264,0.822,0.739,4.26e-05,1.0,0.181,-4.541,0.0,0.0311,118.992,4.0,0.745
500,Vogue,Madonna,"['dance pop', 'pop']",greatest-hot-100-songs-by-women,spotify:track:27QvYgBk0CHOVHthWnkuWt,spotify:album:43lok9zd7BW5CoYkXZs7S0,67,0.00379,0.737,0.88,0.00351,6.0,0.417,-6.449,1.0,0.0433,115.998,4.0,0.329
501,Love Takes Time,Mariah Carey,"['dance pop', 'pop', 'r&b', 'urban contemporary']",greatest-hot-100-songs-by-women,spotify:track:48l7PNpT2fBoT4cdLW6EzP,spotify:album:5SwNGsGw1I8H361DKiYnnn,55,0.727,0.602,0.338,0.0,11.0,0.0849,-12.371,1.0,0.0293,126.232,4.0,0.25
502,My Boo,Usher,"['atl hip hop', 'dance pop', 'pop', 'r&b', 'urban contemporary']",greatest-hot-100-songs-by-women,spotify:track:68vgtRHr7iZHpzGpon6Jlo,spotify:album:1RM6MGv6bcl6NrAG8PGoZk,76,0.257,0.662,0.507,0.0,5.0,0.0465,-8.238,1.0,0.118,86.412,4.0,0.676
503,Baby Boy,Beyonce,"['dance pop', 'pop', 'post-teen pop', 'r&b']",greatest-hot-100-songs-by-women,spotify:track:4WY3HyGXsWqjFRCVD6gnTe,spotify:album:6oxVabMIqCMJRYN1GqR3Vf,66,0.0825,0.655,0.488,1.16e-06,1.0,0.221,-9.17,1.0,0.22,91.025,4.0,0.791
504,Firework,Katy Perry,"['dance pop', 'pop', 'post-teen pop']",greatest-hot-100-songs-by-women,spotify:track:1mXuMM6zjPgjL4asbBsgnt,spotify:album:06SY6Ke6mXzZHhURLVU57R,68,0.141,0.638,0.832,0.0,8.0,0.113,-5.039,1.0,0.049,124.071,4.0,0.648
505,Vision Of Love,Mariah Carey,"['dance pop', 'pop', 'r&b', 'urban contemporary']",greatest-hot-100-songs-by-women,spotify:track:0gLQ6jhJsyYfl7PrD1RZ7X,spotify:album:5SwNGsGw1I8H361DKiYnnn,59,0.442,0.256,0.463,0.0,5.0,0.121,-10.959,1.0,0.0382,205.362,3.0,0.354
506,BAD GIRLS,Donna Summer,"['dance pop', 'disco', 'europop', 'hi-nrg', 'motown', 'new wave pop']",greatest-hot-100-songs-by-women,spotify:track:1ibRqifchaAfeNdQGpbRVW,spotify:album:58GjBhQvLHwfQFJtdP9Oxg,60,0.00387,0.857,0.7,0.0164,2.0,0.411,-14.506,0.0,0.0358,120.529,4.0,0.973
507,Miss You Much,Janet Jackson,"['dance pop', 'hip pop', 'neo soul', 'new jack swing', 'pop', 'r&b', 'urban contemporary']",greatest-hot-100-songs-by-women,spotify:track:062mh4qAZyDV9dIQK70iu0,spotify:album:7jtBAkD6DL5yn7komrFTxE,42,0.0284,0.703,0.973,9.59e-05,6.0,0.302,-8.719,0.0,0.0401,115.184,4.0,0.704
508,To Sir With Love,Lulu,"['brazilian rock', 'mpb', 'pop nacional']",greatest-hot-100-songs-by-women,spotify:track:1C1dPegkqX6HMoWcAY5LWA,spotify:album:5H2oZHVpQ8uNLqQD1ohsoB,54,0.394,0.549,0.335,1.38e-05,4.0,0.182,-11.421,1.0,0.026,97.171,4.0,0.33
509,Hold On,Wilson Phillips,"['girl group', 'new wave pop', 'pop rock', 'soft rock']",greatest-hot-100-songs-by-women,spotify:track:4VZDv8sASBS8UruUBGTFdk,spotify:album:1Xi55xFMaymXdSWshmxhw2,68,0.4,0.679,0.657,0.0,5.0,0.0497,-9.897,1.0,0.0255,97.8,4.0,0.546
510,California Gurls,Katy Perry,"['dance pop', 'pop', 'post-teen pop']",greatest-hot-100-songs-by-women,spotify:track:6tS3XVuOyu10897O3ae7bi,spotify:album:5BvgP623rtvlc0HDcpzquz,72,0.00446,0.791,0.754,0.0,0.0,0.163,-3.729,1.0,0.0569,125.014,4.0,0.425
511,Crazy In Love,Beyonce,"['dance pop', 'pop', 'post-teen pop', 'r&b']",greatest-hot-100-songs-by-women,spotify:track:5IVuqXILoxVWvWEPm82Jxr,spotify:album:6oxVabMIqCMJRYN1GqR3Vf,75,0.00249,0.646,0.77,0.0,2.0,0.0715,-6.596,0.0,0.226,99.165,4.0,0.681
512,From A Distance,Bette Midler,"['adult standards', 'mellow gold', 'new wave pop', 'soft rock']",greatest-hot-100-songs-by-women,spotify:track:48eiLW57CqSmCYNZRM2J8M,spotify:album:7s86va7L6qq82p0y7KVBeb,57,0.674,0.536,0.242,0.0,7.0,0.331,-11.716,1.0,0.0277,137.989,4.0,0.331
513,ALONE,Heart,"['album rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'new wave pop', 'pop rock', 'rock', 'soft rock']",greatest-hot-100-songs-by-women,spotify:track:54b8qPFqYqIndfdxiLApea,spotify:album:56dfEbntfVTMCxjrjggL1e,73,0.638,0.418,0.452,0.00026,1.0,0.0959,-13.099,1.0,0.0356,175.088,4.0,0.168
514,(They Long To Be) Close To You,Carpenters,"['adult standards', 'folk', 'mellow gold', 'soft rock']",greatest-hot-100-songs-by-women,spotify:track:2kyVQg00pphEufGT59M2XH,spotify:album:5z8MFnoVUIfVo6MQW0uIul,66,0.726,0.528,0.233,0.000108,8.0,0.122,-15.362,1.0,0.0346,89.044,4.0,0.208
515,Hollaback Girl,Gwen Stefani,"['dance pop', 'europop', 'hip pop', 'pop', 'pop rock', 'post-teen pop', 'urban contemporary']",greatest-hot-100-songs-by-women,spotify:track:0eqH0ALoDQevq59YcQ53KE,spotify:album:34y7m68F7rN9ou6m5GWohR,70,0.35,0.926,0.916,6.17e-06,10.0,0.0234,-2.221,0.0,0.0929,110.007,4.0,0.904
