,artist,uri,followers,genres,popularity,spotify_id,chart
2356,Aitana,spotify:artist:7eLcDZDYHXZCebtQmVFL25,967123,"['latin pop', 'latin talent show', 'spanish pop']",75,7eLcDZDYHXZCebtQmVFL25,euro-digital-song-sales
2357,Ava Max,spotify:artist:4npEfmQ6YuiwW1GpUmaq3F,1547015,"['dance pop', 'pop', 'post-teen pop']",87,4npEfmQ6YuiwW1GpUmaq3F,euro-digital-song-sales
2358,Michael Patrick Kelly,spotify:artist:4OGiMt96TFUKkKWf7Imlno,151966,['german pop'],58,4OGiMt96TFUKkKWf7Imlno,euro-digital-song-sales
2359,Idir,spotify:artist:73LjFn4z6WTV7MevyPxrRc,60701,['kabyle'],54,73LjFn4z6WTV7MevyPxrRc,france-digital-song-sales
2360,Et demain ? Le Collectif,spotify:artist:2pCzfmIPJjOCcEfsOqSCFO,664,[],50,2pCzfmIPJjOCcEfsOqSCFO,france-digital-song-sales
2361,Benjamin Biolay,spotify:artist:26Kq9bSJsElA93PflKEB1A,82043,"['chanson', 'french indie pop', 'french indietronica', 'french rock', 'nouvelle chanson francaise']",55,26Kq9bSJsElA93PflKEB1A,france-digital-song-sales
2362,Capital Bra,spotify:artist:4WZGDpNwrC0vNQyl9QzF7d,3327098,['german hip hop'],83,4WZGDpNwrC0vNQyl9QzF7d,germany-songs
2363,Ufo361,spotify:artist:5pVRwX5ZQR7hfJ18w8ZYkl,1386600,"['german cloud rap', 'german hip hop']",83,5pVRwX5ZQR7hfJ18w8ZYkl,germany-songs
2364,Shirin David,spotify:artist:0JBdTCGs111JKKYfLqOEBa,420711,['german pop'],73,0JBdTCGs111JKKYfLqOEBa,germany-songs
2365,Kontra K,spotify:artist:4lDiJcOJ2GLCK6p9q5BgfK,1491506,"['christlicher rap', 'german hip hop']",78,4lDiJcOJ2GLCK6p9q5BgfK,germany-songs
2366,Luciano,spotify:artist:4dyYjqmYDjegbB3F2mbvcT,1331548,"['pagode', 'sertanejo', 'sertanejo universitario']",70,4dyYjqmYDjegbB3F2mbvcT,germany-songs
2367,Frei.Wild,spotify:artist:7GpKqL7BEW0r3SeeMV4II7,202724,['german oi'],66,7GpKqL7BEW0r3SeeMV4II7,german-albums
2368,Ramon Roselly,spotify:artist:4IGHrMehf0qXOHkKxECWAn,11730,[],55,4IGHrMehf0qXOHkKxECWAn,german-albums
2369,Swiss,spotify:artist:1cadboJBogM4MyFbyXHX0f,219,[],24,1cadboJBogM4MyFbyXHX0f,german-albums
2370,Edo Saiya,spotify:artist:0PVPI2jOWDJtWpOxrXnT6F,55846,"['german cloud rap', 'german hip hop', 'german trap']",69,0PVPI2jOWDJtWpOxrXnT6F,german-albums
