artist,uri,followers,genres,popularity,decade,is_recommended,billboard
The Supremes,spotify:artist:57bUPid8xztkieZfS7OlEV,1041950,"['adult standards', 'brill building pop', 'classic girl group', 'disco', 'folk rock', 'funk', 'motown', 'quiet storm', 'soul']",69,1960.0,0,
Tito Rodriguez,spotify:artist:10n4KkyM4UDt4pf9H4aDlS,42154,"['bolero', 'charanga', 'latin jazz', 'mambo', 'salsa', 'salsa international', 'salsa puertorriquena']",45,1960.0,1,
Jr. Walker ,spotify:artist:1rHh0AI30JhKrbzKIFjFNd,118285,"['brill building pop', 'classic soul', 'funk', 'motown', 'quiet storm', 'soul', 'southern soul']",55,1960.0,1,
Marvin Gaye,spotify:artist:3koiLjNrgRTNbOwViDipeA,3346979,"['classic soul', 'funk', 'motown', 'northern soul', 'quiet storm', 'soul']",77,1960.0,0,
Tony Bennett,spotify:artist:2lolQgalUvZDfp5vvVtTYV,523054,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']",65,1960.0,0,
Mark Van Doren,spotify:artist:5YJUZtl4FjYDHnJfR2ysEI,28,['poetry'],0,1960.0,1,
La Sonora Matancera,spotify:artist:01p7Homi0d4XxZ06f2NYYD,103746,"['bolero', 'cumbia', 'latin jazz', 'mambo', 'salsa', 'tropical']",58,1960.0,1,
Yusef Lateef,spotify:artist:33XkS6h90eeK7e6OJHw0mq,53803,"['avant-garde', 'avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'free jazz', 'hard bop', 'jazz', 'jazz funk', 'jazz saxophone', 'soul jazz']",49,1960.0,1,
The Staple Singers,spotify:artist:7xGGqA85UIWX1GoTVM4itC,179596,"['brill building pop', 'chicago soul', 'classic soul', 'funk', 'memphis soul', 'motown', 'quiet storm', 'soul', 'southern soul']",59,1960.0,1,
Maynard Ferguson,spotify:artist:6T4kUHIlszpj944ZXR3yNw,36637,"['big band', 'jazz orchestra', 'jazz trumpet']",42,1960.0,1,
